Round,Round Name,Home Team,Away Team,UTC Time,Finished,Started,Cancelled,Awarded,Score,Match Status,,
1,1,Werder Bremen,Bayern München,2023-08-18T18:30:00Z,TRUE,TRUE,FALSE,FALSE,0_4,Full-Time,,
1,1,Augsburg,Borussia Mönchengladbach,2023-08-19T13:30:00Z,TRUE,TRUE,FALSE,FALSE,4_4,Full-Time,,
1,1,Bayer Leverkusen,RB Leipzig,2023-08-19T13:30:00Z,TRUE,TRUE,FALSE,FALSE,3_2,Full-Time,,
1,1,Hoffenheim,Freiburg,2023-08-19T13:30:00Z,TRUE,TRUE,FALSE,FALSE,1_2,Full-Time,,
1,1,VfB Stuttgart,Bochum,2023-08-19T13:30:00Z,TRUE,TRUE,FALSE,FALSE,5_0,Full-Time,,
1,1,Wolfsburg,FC Heidenheim,2023-08-19T13:30:00Z,TRUE,TRUE,FALSE,FALSE,2_0,Full-Time,,
1,1,Borussia Dortmund,1. FC Köln,2023-08-19T16:30:00Z,TRUE,TRUE,FALSE,FALSE,1_0,Full-Time,,
1,1,Union Berlin,Mainz 05,2023-08-20T13:30:00Z,TRUE,TRUE,FALSE,FALSE,4_1,Full-Time,,
1,1,Eintracht Frankfurt,Darmstadt,2023-08-20T15:30:00Z,TRUE,TRUE,FALSE,FALSE,1_0,Full-Time,,
2,2,RB Leipzig,VfB Stuttgart,2023-08-25T18:30:00Z,TRUE,TRUE,FALSE,FALSE,5_1,Full-Time,,
2,2,Bochum,Borussia Dortmund,2023-08-26T13:30:00Z,TRUE,TRUE,FALSE,FALSE,1_1,Full-Time,,
2,2,Darmstadt,Union Berlin,2023-08-26T13:30:00Z,TRUE,TRUE,FALSE,FALSE,1_4,Full-Time,,
2,2,FC Heidenheim,Hoffenheim,2023-08-26T13:30:00Z,TRUE,TRUE,FALSE,FALSE,2_3,Full-Time,,
2,2,1. FC Köln,Wolfsburg,2023-08-26T13:30:00Z,TRUE,TRUE,FALSE,FALSE,1_2,Full-Time,,
2,2,Freiburg,Werder Bremen,2023-08-26T13:30:00Z,TRUE,TRUE,FALSE,FALSE,1_0,Full-Time,,
2,2,Borussia Mönchengladbach,Bayer Leverkusen,2023-08-26T16:30:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 3,Full-Time,,
2,2,Mainz 05,Eintracht Frankfurt,2023-08-27T13:30:00Z,TRUE,TRUE,FALSE,FALSE,1_1,Full-Time,,
2,2,Bayern München,Augsburg,2023-08-27T15:30:00Z,TRUE,TRUE,FALSE,FALSE,3_1,Full-Time,,
3,3,Borussia Dortmund,FC Heidenheim,2023-09-01T18:30:00Z,TRUE,TRUE,FALSE,FALSE,2_2,Full-Time,,
3,3,Augsburg,Bochum,2023-09-02T13:30:00Z,TRUE,TRUE,FALSE,FALSE,2_2,Full-Time,,
3,3,Bayer Leverkusen,Darmstadt,2023-09-02T13:30:00Z,TRUE,TRUE,FALSE,FALSE,5_1,Full-Time,,
3,3,Hoffenheim,Wolfsburg,2023-09-02T13:30:00Z,TRUE,TRUE,FALSE,FALSE,3_1,Full-Time,,
3,3,VfB Stuttgart,Freiburg,2023-09-02T13:30:00Z,TRUE,TRUE,FALSE,FALSE,5_0,Full-Time,,
3,3,Werder Bremen,Mainz 05,2023-09-02T13:30:00Z,TRUE,TRUE,FALSE,FALSE,4_0,Full-Time,,
3,3,Borussia Mönchengladbach,Bayern München,2023-09-02T16:30:00Z,TRUE,TRUE,FALSE,FALSE,1_2,Full-Time,,
3,3,Eintracht Frankfurt,1. FC Köln,2023-09-03T13:30:00Z,TRUE,TRUE,FALSE,FALSE,1_1,Full-Time,,
3,3,Union Berlin,RB Leipzig,2023-09-03T15:30:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 3,Full-Time,,
4,4,Bayern München,Bayer Leverkusen,2023-09-15T18:30:00Z,TRUE,TRUE,FALSE,FALSE,2_2,Full-Time,,
4,4,1. FC Köln,Hoffenheim,2023-09-16T13:30:00Z,TRUE,TRUE,FALSE,FALSE,1_3,Full-Time,,
4,4,Freiburg,Borussia Dortmund,2023-09-16T13:30:00Z,TRUE,TRUE,FALSE,FALSE,2_4,Full-Time,,
4,4,Mainz 05,VfB Stuttgart,2023-09-16T13:30:00Z,TRUE,TRUE,FALSE,FALSE,1_3,Full-Time,,
4,4,RB Leipzig,Augsburg,2023-09-16T13:30:00Z,TRUE,TRUE,FALSE,FALSE,3_0,Full-Time,,
4,4,Wolfsburg,Union Berlin,2023-09-16T13:30:00Z,TRUE,TRUE,FALSE,FALSE,2_1,Full-Time,,
4,4,Bochum,Eintracht Frankfurt,2023-09-16T16:30:00Z,TRUE,TRUE,FALSE,FALSE,1_1,Full-Time,,
4,4,FC Heidenheim,Werder Bremen,2023-09-17T13:30:00Z,TRUE,TRUE,FALSE,FALSE,4_2,Full-Time,,
4,4,Darmstadt,Borussia Mönchengladbach,2023-09-17T15:30:00Z,TRUE,TRUE,FALSE,FALSE,3_3,Full-Time,,
5,5,VfB Stuttgart,Darmstadt,2023-09-22T18:30:00Z,TRUE,TRUE,FALSE,FALSE,3_1,Full-Time,,
5,5,Augsburg,Mainz 05,2023-09-23T13:30:00Z,TRUE,TRUE,FALSE,FALSE,2_1,Full-Time,,
5,5,Bayern München,Bochum,2023-09-23T13:30:00Z,TRUE,TRUE,FALSE,FALSE,7_0,Full-Time,,
