idx,name,played,wins,draws,losses,scoresStr,goalConDiff,pts
1,Bayer Leverkusen,17,14,3,0,47-11,36,45
2,Bayern München,17,14,1,2,53-12,41,43
3,VfB Stuttgart,17,13,3,1,50-15,35,42
4,RB Leipzig,17,11,4,2,40-12,28,37
5,Borussia Dortmund,17,10,3,4,37-22,15,33
6,Eintracht Frankfurt,17,7,8,2,29-21,8,29
7,FC Heidenheim,17,7,5,5,30-26,4,26
8,Werder Bremen,17,7,4,6,29-26,3,25
9,Augsburg,17,6,6,5,26-26,0,24
10,Mainz 05,17,6,5,6,23-18,5,23
11,Hoffenheim,17,6,5,6,31-31,0,23
12,Bochum,17,5,8,4,26-29,-3,23
13,Union Berlin,17,7,2,8,22-30,-8,23
14,Wolfsburg,17,6,4,7,25-25,0,22
15,Freiburg,17,5,7,5,28-30,-2,22
16,Borussia Mönchengladbach,17,5,6,6,27-26,1,21
17,1. FC Köln,17,4,4,9,15-28,-13,16
18,Darmstadt,17,1,3,13,15-44,-29,6
