Rank,Team,Accurate Crosses per Match,Cross Success (%),Matches,Country
1,Bayern München,5.9,30.4,34,GER
2,VfL Bochum,5.5,29.0,34,GER
3,Borussia Mönchengladbach,5.3,31.5,34,GER
4,FC Augsburg,5.1,27.4,34,GER
5,Union Berlin,5.1,26.3,34,GER
6,FC Heidenheim,5.1,26.1,34,GER
7,Mainz 05,5.0,26.7,34,GER
8,RB Leipzig,4.9,27.6,34,GER
9,FC Köln,4.9,21.6,34,GER
10,Werder Bremen,4.6,29.1,34,GER
11,SC Freiburg,4.5,25.8,34,GER
12,TSG Hoffenheim,4.5,25.2,34,GER
13,Bayer Leverkusen,4.4,25.6,34,GER
14,VfB Stuttgart,4.3,27.4,34,GER
15,Eintracht Frankfurt,4.2,25.7,34,GER
16,Wolfsburg,4.1,23.6,34,GER
17,SV Darmstadt,3.8,25.1,34,GER
18,Borussia Dortmund,3.8,24.7,34,GER
