Rank,Team,Accurate Passes per Match,Pass Success (%),Matches,Country
1,Bayer Leverkusen,597.8,88.8,34,GER
2,Bayern München,560.4,88.9,34,GER
3,VfB Stuttgart,539.8,86.9,34,GER
4,Borussia Dortmund,481.6,85.5,34,GER
5,RB Leipzig,451.7,84.8,34,GER
6,Eintracht Frankfurt,413.8,81.3,34,GER
7,Borussia Mönchengladbach,372.7,81.6,34,GER
8,TSG Hoffenheim,371.0,80.9,34,GER
9,Wolfsburg,358.9,80.5,34,GER
10,Werder Bremen,353.1,79.7,34,GER
11,SC Freiburg,340.6,79.1,34,GER
12,SV Darmstadt,321.4,78.4,34,GER
13,FC Köln,316.7,78.7,34,GER
14,Mainz 05,297.3,74.9,34,GER
15,Union Berlin,296.1,76.5,34,GER
16,FC Augsburg,289.3,77.0,34,GER
17,FC Heidenheim,273.9,73.5,34,GER
18,VfL Bochum,261.0,70.6,34,GER
