Rank,Team,Big Chances Missed,Goals,Matches,Country
1,Bayern München,85.0,94.0,34,GER
2,Bayer Leverkusen,69.0,89.0,34,GER
3,VfB Stuttgart,68.0,78.0,34,GER
4,RB Leipzig,62.0,77.0,34,GER
5,Borussia Dortmund,61.0,68.0,34,GER
6,Union Berlin,54.0,33.0,34,GER
7,Mainz 05,52.0,39.0,34,GER
8,VfL Bochum,51.0,42.0,34,GER
9,SC Freiburg,50.0,45.0,34,GER
10,Borussia Mönchengladbach,47.0,56.0,34,GER
11,Eintracht Frankfurt,47.0,51.0,34,GER
12,Wolfsburg,45.0,41.0,34,GER
13,TSG Hoffenheim,42.0,66.0,34,GER
14,FC Köln,41.0,28.0,34,GER
15,FC Heidenheim,39.0,50.0,34,GER
16,FC Augsburg,37.0,50.0,34,GER
17,Werder Bremen,34.0,48.0,34,GER
18,SV Darmstadt,28.0,30.0,34,GER
