Rank,Team,Big Chances,Goals,Matches,Country
1,Bayern München,147.0,94.0,34,GER
2,VfB Stuttgart,128.0,78.0,34,GER
3,Bayer Leverkusen,125.0,89.0,34,GER
4,RB Leipzig,108.0,77.0,34,GER
5,Borussia Dortmund,108.0,68.0,34,GER
6,TSG Hoffenheim,85.0,66.0,34,GER
7,SC Freiburg,81.0,45.0,34,GER
8,Borussia Mönchengladbach,79.0,56.0,34,GER
9,Eintracht Frankfurt,77.0,51.0,34,GER
10,Mainz 05,77.0,39.0,34,GER
11,VfL Bochum,76.0,42.0,34,GER
12,Union Berlin,71.0,33.0,34,GER
13,Werder Bremen,68.0,48.0,34,GER
14,FC Augsburg,66.0,50.0,34,GER
15,Wolfsburg,64.0,41.0,34,GER
16,FC Heidenheim,62.0,50.0,34,GER
17,FC Köln,59.0,28.0,34,GER
18,SV Darmstadt,42.0,30.0,34,GER
