Rank,Team,Clean Sheets,Matches,Country
1,Bayer Leverkusen,16.0,34,GER
2,VfB Stuttgart,12.0,34,GER
3,Bayern München,11.0,34,GER
4,Borussia Dortmund,10.0,34,GER
4,RB Leipzig,10.0,34,GER
4,SC Freiburg,10.0,34,GER
7,Mainz 05,8.0,34,GER
8,Eintracht Frankfurt,7.0,34,GER
8,Union Berlin,7.0,34,GER
8,Werder Bremen,7.0,34,GER
11,FC Heidenheim,6.0,34,GER
11,Wolfsburg,6.0,34,GER
13,Borussia Mönchengladbach,4.0,34,GER
13,FC Köln,4.0,34,GER
13,VfL Bochum,4.0,34,GER
16,FC Augsburg,3.0,34,GER
16,SV Darmstadt,3.0,34,GER
18,TSG Hoffenheim,2.0,34,GER
