Rank,Team,Corners Taken,Matches,Country
1,Bayer Leverkusen,236.0,34,GER
2,Bayern München,228.0,34,GER
3,RB Leipzig,200.0,34,GER
4,FC Köln,188.0,34,GER
5,FC Heidenheim,183.0,34,GER
6,Mainz 05,180.0,34,GER
7,Borussia Dortmund,176.0,34,GER
8,Borussia Mönchengladbach,174.0,34,GER
9,VfB Stuttgart,166.0,34,GER
10,FC Augsburg,165.0,34,GER
11,Eintracht Frankfurt,161.0,34,GER
12,Union Berlin,157.0,34,GER
13,VfL Bochum,154.0,34,GER
14,TSG Hoffenheim,149.0,34,GER
15,Wolfsburg,148.0,34,GER
16,SC Freiburg,128.0,34,GER
17,Werder Bremen,120.0,34,GER
18,SV Darmstadt,115.0,34,GER
