Rank,Team,Clearances per Match,Total Clearances,Matches,Country
1,Borussia Mönchengladbach,24.0,815.0,34,GER
2,Union Berlin,23.9,811.0,34,GER
3,TSG Hoffenheim,22.4,761.0,34,GER
4,Werder Bremen,22.1,752.0,34,GER
5,Wolfsburg,22.0,749.0,34,GER
6,FC Heidenheim,21.6,736.0,34,GER
7,FC Köln,21.6,735.0,34,GER
8,VfL Bochum,21.3,725.0,34,GER
9,FC Augsburg,20.9,709.0,34,GER
10,SC Freiburg,20.8,706.0,34,GER
11,SV Darmstadt,20.1,682.0,34,GER
12,Mainz 05,20.0,681.0,34,GER
13,Eintracht Frankfurt,19.4,661.0,34,GER
14,RB Leipzig,17.8,605.0,34,GER
15,Borussia Dortmund,17.6,600.0,34,GER
16,VfB Stuttgart,17.3,588.0,34,GER
17,Bayern München,13.1,444.0,34,GER
18,Bayer Leverkusen,12.9,437.0,34,GER
