Rank,Team,Fouls per Match,Yellow Cards,Matches,Country
1,Mainz 05,13.9,97.0,34,GER
2,FC Augsburg,13.4,69.0,34,GER
3,VfL Bochum,13.1,97.0,34,GER
4,FC Heidenheim,13.0,54.0,34,GER
5,SV Darmstadt,12.6,83.0,34,GER
6,FC Köln,12.3,65.0,34,GER
7,Wolfsburg,12.2,82.0,34,GER
8,Union Berlin,11.8,61.0,34,GER
9,Werder Bremen,11.6,73.0,34,GER
10,SC Freiburg,10.7,62.0,34,GER
11,Eintracht Frankfurt,10.4,62.0,34,GER
12,RB Leipzig,10.4,59.0,34,GER
13,TSG Hoffenheim,10.0,78.0,34,GER
14,Borussia Mönchengladbach,9.9,64.0,34,GER
15,VfB Stuttgart,9.7,54.0,34,GER
16,Borussia Dortmund,9.3,55.0,34,GER
17,Bayer Leverkusen,9.0,59.0,34,GER
18,Bayern München,8.9,45.0,34,GER
