Rank,Team,Goals Conceded per Match,Total Goals Conceded,Matches,Country
1,Bayer Leverkusen,0.7,24.0,34,GER
2,VfB Stuttgart,1.1,39.0,34,GER
2,RB Leipzig,1.1,39.0,34,GER
4,Borussia Dortmund,1.3,43.0,34,GER
5,Bayern München,1.3,45.0,34,GER
6,Eintracht Frankfurt,1.5,50.0,34,GER
7,Mainz 05,1.5,51.0,34,GER
8,Werder Bremen,1.6,54.0,34,GER
9,FC Heidenheim,1.6,55.0,34,GER
10,Wolfsburg,1.6,56.0,34,GER
11,Union Berlin,1.7,58.0,34,GER
11,SC Freiburg,1.7,58.0,34,GER
13,FC Köln,1.8,60.0,34,GER
13,FC Augsburg,1.8,60.0,34,GER
15,TSG Hoffenheim,1.9,66.0,34,GER
16,Borussia Mönchengladbach,2.0,67.0,34,GER
17,VfL Bochum,2.2,74.0,34,GER
18,SV Darmstadt,2.5,86.0,34,GER
