Rank,Team,Shots on Target per Match,Shot Conversion Rate (%),Matches,Country
1,Bayern München,7.1,14.7,34,GER
2,Bayer Leverkusen,7.1,14.4,34,GER
3,RB Leipzig,6.6,14.4,34,GER
4,VfB Stuttgart,6.4,14.5,34,GER
5,Borussia Dortmund,5.6,13.3,34,GER
6,TSG Hoffenheim,4.9,14.3,34,GER
7,Borussia Mönchengladbach,4.6,12.3,34,GER
8,VfL Bochum,4.5,8.0,34,GER
9,Wolfsburg,4.4,9.9,34,GER
10,FC Köln,4.4,6.3,34,GER
11,Eintracht Frankfurt,4.3,12.6,34,GER
12,SC Freiburg,4.2,11.2,34,GER
13,Mainz 05,4.2,8.1,34,GER
14,Union Berlin,4.0,8.1,34,GER
15,Werder Bremen,3.9,11.6,34,GER
16,FC Augsburg,3.9,11.5,34,GER
17,FC Heidenheim,3.5,12.7,34,GER
18,SV Darmstadt,3.4,7.4,34,GER
