Rank,Team,Penalties Won,Conversion Rate (%),Matches,Country
1,SC Freiburg,9.0,77.8,34,GER
2,Bayer Leverkusen,8.0,100.0,34,GER
3,VfB Stuttgart,8.0,62.5,34,GER
4,FC Augsburg,7.0,71.4,34,GER
5,RB Leipzig,7.0,57.1,34,GER
6,Borussia Dortmund,6.0,100.0,34,GER
6,TSG Hoffenheim,6.0,100.0,34,GER
8,Borussia Mönchengladbach,6.0,83.3,34,GER
8,FC Köln,6.0,83.3,34,GER
8,Werder Bremen,6.0,83.3,34,GER
11,Union Berlin,6.0,50.0,34,GER
12,Bayern München,5.0,100.0,34,GER
13,Mainz 05,5.0,20.0,34,GER
14,VfL Bochum,4.0,100.0,34,GER
15,SV Darmstadt,3.0,100.0,34,GER
16,Eintracht Frankfurt,3.0,66.7,34,GER
16,FC Heidenheim,3.0,66.7,34,GER
16,Wolfsburg,3.0,66.7,34,GER
