Rank,Player,Team,Accurate Long Balls per 90,Successful Long Balls (%),Minutes,Matches,Country
1,Kevin Vogt,1. FC Union Berlin,6.5,65.6,2643,32,GER
2,Mats Hummels,Borussia Dortmund,6.0,67.7,1581,25,GER
3,Nico Schlotterbeck,Borussia Dortmund,5.9,60.2,2861,33,GER
4,Pascal Stenzel,VfB Stuttgart,5.7,74.7,1068,23,GER
5,Milos Veljkovic,SV Werder Bremen,5.4,51.6,1921,23,SRB
6,Niklas Süle,Borussia Dortmund,5.0,71.2,1509,23,GER
7,Edimilson Fernandes,1. FSV Mainz 05,4.8,46.6,1284,21,SUI
8,Jeffrey Gouweleeuw,FC Augsburg,4.7,42.0,2594,30,NED
9,Klaus Gjasula,SV Darmstadt,4.4,58.8,1366,22,ALB
10,Granit Xhaka,Bayer 04 Leverkusen,4.3,81.2,2828,33,SUI
11,John Anthony Brooks,TSG Hoffenheim,4.2,49.3,1539,21,USA
12,Florian Grillitsch,TSG Hoffenheim,4.1,51.7,2297,30,AUT
13,Norman Theuerkauf,1. FC Heidenheim 1846,3.9,56.8,1257,25,GER
14,Anthony Caci,1. FSV Mainz 05,3.9,51.4,2493,31,FRA
15,Dan-Axel Zagadou,VfB Stuttgart,3.9,44.7,1453,19,FRA
16,Niklas Stark,SV Werder Bremen,3.9,42.3,1086,17,GER
17,Maximilian Arnold,VfL Wolfsburg,3.8,51.7,2503,30,GER
18,Matej Maglica,SV Darmstadt,3.8,35.9,1701,26,CRO
19,Joshua Kimmich,Bayern München,3.7,70.3,2185,28,GER
20,Maxence Lacroix,VfL Wolfsburg,3.7,57.1,2364,28,FRA
21,Marco Friedl,SV Werder Bremen,3.6,53.6,2198,25,AUT
22,Christoph Zimmermann,SV Darmstadt,3.4,50.0,1216,19,GER
23,Emre Can,Borussia Dortmund,3.3,59.2,1956,25,GER
24,Hiroki Ito,VfB Stuttgart,3.3,43.9,2231,26,JPN
25,Jonas Föhrenbach,1. FC Heidenheim 1846,3.3,43.8,2790,33,GER
26,Robin Knoche,1. FC Union Berlin,3.3,39.1,1916,24,GER
27,Dayot Upamecano,Bayern München,3.2,66.0,1763,25,FRA
28,Kevin Stöger,VfL Bochum,3.2,51.1,2678,32,AUT
29,Anthony Rouault,VfB Stuttgart,3.2,50.7,1008,22,FRA
30,Arne Maier,FC Augsburg,3.1,75.6,998,22,GER
31,Nicolas Seiwald,RB Leipzig,3.1,55.8,708,21,AUT
32,Waldemar Anton,VfB Stuttgart,3.1,45.8,2888,33,GER
33,Felix Uduokhai,FC Augsburg,3.1,41.2,2922,33,GER
34,Aleksandar Pavlovic,Bayern München,3.0,83.7,1228,19,GER
35,Edmond Tapsoba,Bayer 04 Leverkusen,3.0,57.0,2084,28,BFA
36,Lukas Klostermann,RB Leipzig,3.0,52.2,1433,25,GER
37,Anthony Jung,SV Werder Bremen,3.0,52.1,2583,31,GER
38,Julian Chabot,FC Köln,3.0,41.7,2707,32,GER
39,Tuta,Eintracht Frankfurt,3.0,40.4,2605,30,BRA
40,Diogo Leite,1. FC Union Berlin,3.0,37.3,2708,32,POR
41,Josip Stanisic,Bayer 04 Leverkusen,2.9,58.6,1257,20,CRO
42,Christoph Klarer,SV Darmstadt,2.9,52.1,2356,30,AUT
43,Nadiem Amiri,1. FSV Mainz 05,2.9,51.1,1401,23,GER
44,Danilho Doekhi,1. FC Union Berlin,2.9,44.5,2160,24,NED
45,Dominik Kohr,1. FSV Mainz 05,2.9,36.6,2190,31,GER
46,Olivier Deman,SV Werder Bremen,2.8,50.6,1359,29,BEL
47,Emir Karic,SV Darmstadt,2.8,48.7,1781,27,AUT
48,Willi Orban,RB Leipzig,2.8,47.2,1583,19,HUN
49,Robin Koch,Eintracht Frankfurt,2.8,39.7,2740,31,GER
50,Exequiel Palacios,Bayer 04 Leverkusen,2.7,67.9,1840,24,ARG
51,Julian Weigl,Borussia Mönchengladbach,2.7,62.1,2766,31,GER
52,Angelo Stiller,VfB Stuttgart,2.7,53.2,2780,32,GER
53,Josip Juranovic,1. FC Union Berlin,2.7,45.8,1290,21,CRO
54,Fabian Holland,SV Darmstadt,2.7,43.3,1847,23,GER
55,Bernardo,VfL Bochum,2.7,40.5,2924,33,BRA
56,Timo Hübers,FC Köln,2.7,39.0,2779,31,GER
57,Matthijs de Ligt,Bayern München,2.6,61.5,1389,22,NED
58,Ramy Bensebaini,Borussia Dortmund,2.6,49.2,1030,17,ALG
59,Cedric Zesiger,VfL Wolfsburg,2.6,37.2,1634,23,SUI
60,Willian Pacho,Eintracht Frankfurt,2.6,34.0,2970,33,ECU
61,Leon Goretzka,Bayern München,2.5,59.6,2242,30,GER
62,Florian Neuhaus,Borussia Mönchengladbach,2.5,58.6,1226,25,GER
63,Min-Jae Kim,Bayern München,2.5,54.0,1970,25,KOR
64,Vincenzo Grifo,SC Freiburg,2.5,48.9,2344,32,ITA
65,Christopher Trimmel,1. FC Union Berlin,2.5,48.4,1653,26,AUT
66,Kevin Akpoguma,TSG Hoffenheim,2.5,47.0,1095,17,NGA
67,Patrick Mainka,1. FC Heidenheim 1846,2.5,45.9,3060,34,GER
68,Lennard Maloney,1. FC Heidenheim 1846,2.5,42.7,2292,29,USA
69,Maximilian Wöber,Borussia Mönchengladbach,2.5,37.4,2070,25,AUT
70,Senne Lynen,SV Werder Bremen,2.4,56.6,1791,32,BEL
71,Mohamed Simakan,RB Leipzig,2.4,45.2,2139,32,FRA
72,Xaver Schlager,RB Leipzig,2.3,60.4,2482,29,AUT
73,Aster Vranckx,VfL Wolfsburg,2.3,50.9,1143,24,BEL
74,Piero Hincapié,Bayer 04 Leverkusen,2.3,50.0,1484,26,ECU
75,Iago,FC Augsburg,2.3,47.1,1622,23,BRA
76,David Raum,RB Leipzig,2.3,44.2,2743,31,GER
77,Benedikt Gimber,1. FC Heidenheim 1846,2.3,38.1,2026,24,GER
78,Matthias Ginter,SC Freiburg,2.3,36.8,1918,23,GER
79,Jonas Hofmann,Bayer 04 Leverkusen,2.2,83.3,2214,32,GER
80,Dani Olmo,RB Leipzig,2.2,68.6,1454,21,ESP
81,Kristijan Jakic,FC Augsburg,2.2,54.4,1253,18,CRO
82,Robert Skov,TSG Hoffenheim,2.2,51.7,1261,25,DEN
83,Kevin Sessa,1. FC Heidenheim 1846,2.2,48.0,1001,30,GER
84,Benjamin Henrichs,RB Leipzig,2.2,45.5,2531,33,GER
85,Kilian Sildillia,SC Freiburg,2.2,42.1,1804,27,FRA
85,Lukas Kübler,SC Freiburg,2.2,42.1,1848,26,GER
87,Ozan Kabak,TSG Hoffenheim,2.2,40.6,2290,28,TUR
88,Cristian Gamboa,VfL Bochum,2.2,39.2,1187,22,CRC
89,Julian Brandt,Borussia Dortmund,2.1,75.0,2230,32,GER
90,Denis Thomalla,1. FC Heidenheim 1846,2.1,71.4,432,21,GER
91,Robert Andrich,Bayer 04 Leverkusen,2.1,56.5,1681,28,GER
92,Anton Stach,TSG Hoffenheim,2.1,50.9,2497,33,GER
93,Finn Becker,TSG Hoffenheim,2.1,50.0,596,22,GER
94,Castello Lukeba,RB Leipzig,2.1,43.2,2185,32,FRA
