Rank,Player,Team,Accurate Passes per 90,Pass Success (%),Minutes,Matches,Country
1,Granit Xhaka,Bayer 04 Leverkusen,95.6,92.1,2828,33,SUI
2,Min-Jae Kim,Bayern München,90.5,93.0,1970,25,KOR
3,Exequiel Palacios,Bayer 04 Leverkusen,90.2,92.1,1840,24,ARG
4,Dayot Upamecano,Bayern München,85.0,92.7,1763,25,FRA
5,Niklas Süle,Borussia Dortmund,82.8,93.2,1509,23,GER
6,Piero Hincapié,Bayer 04 Leverkusen,77.6,91.8,1484,26,ECU
7,Edmond Tapsoba,Bayer 04 Leverkusen,77.1,91.4,2084,28,BFA
8,Angelo Stiller,VfB Stuttgart,76.1,90.9,2780,32,GER
9,Joshua Kimmich,Bayern München,74.6,91.3,2185,28,GER
10,Nico Schlotterbeck,Borussia Dortmund,74.6,89.2,2861,33,GER
11,Dan-Axel Zagadou,VfB Stuttgart,72.9,86.7,1453,19,FRA
12,Matthijs de Ligt,Bayern München,72.4,94.0,1389,22,NED
13,Robert Andrich,Bayer 04 Leverkusen,71.7,90.8,1681,28,GER
14,Mats Hummels,Borussia Dortmund,71.7,89.3,1581,25,GER
14,Waldemar Anton,VfB Stuttgart,71.7,89.3,2888,33,GER
16,Anthony Rouault,VfB Stuttgart,71.3,88.9,1008,22,FRA
17,Hiroki Ito,VfB Stuttgart,71.0,89.4,2231,26,JPN
18,Willi Orban,RB Leipzig,70.9,89.7,1583,19,HUN
19,Castello Lukeba,RB Leipzig,70.8,91.7,2185,32,FRA
20,Jonathan Tah,Bayer 04 Leverkusen,70.7,94.7,2632,31,GER
21,Josip Stanisic,Bayer 04 Leverkusen,66.2,90.7,1257,20,CRO
22,Aleksandar Pavlovic,Bayern München,64.9,93.6,1228,19,GER
23,Lukas Klostermann,RB Leipzig,64.1,90.1,1433,25,GER
24,Robin Koch,Eintracht Frankfurt,62.4,88.2,2740,31,GER
25,Leon Goretzka,Bayern München,62.1,89.4,2242,30,GER
26,Raphaël Guerreiro,Bayern München,61.6,88.6,1194,20,POR
27,Konrad Laimer,Bayern München,61.4,90.2,1770,29,AUT
28,Kevin Kampl,RB Leipzig,60.9,92.0,1360,26,SVN
29,Odilon Kossounou,Bayer 04 Leverkusen,60.5,89.1,1812,22,CIV
30,Emre Can,Borussia Dortmund,58.9,87.6,1956,25,GER
31,Florian Grillitsch,TSG Hoffenheim,58.2,86.0,2297,30,AUT
32,Noussair Mazraoui,Bayern München,58.1,89.9,1197,19,MAR
33,Willian Pacho,Eintracht Frankfurt,58.1,84.9,2970,33,ECU
34,Atakan Karazor,VfB Stuttgart,58.0,89.7,2630,33,GER
