Rank,Player,Team,Successful Dribbles per 90,Dribble Success Rate (%),Minutes,Matches,Country
1,Jamal Musiala,Bayern München,4.4,59.6,1766,24,GER
2,Leroy Sané,Bayern München,3.9,58.9,2142,27,GER
3,Silas Katompa Mvumpa,VfB Stuttgart,3.8,55.1,890,27,COD
4,Brajan Gruda,1. FSV Mainz 05,3.8,52.3,1651,28,GER
5,Jamie Bynoe-Gittens,Borussia Dortmund,3.7,50.6,1059,25,ENG
6,Niels Nkounkou,Eintracht Frankfurt,3.2,57.5,1301,29,FRA
7,Mathys Tel,Bayern München,3.2,56.1,1031,30,FRA
8,Florian Pick,1. FC Heidenheim 1846,3.1,45.8,315,22,GER
9,Alphonso Davies,Bayern München,3.0,59.8,2067,29,CAN
10,Florian Wirtz,Bayer 04 Leverkusen,3.0,51.3,2377,32,GER
11,Eric Maxim Choupo-Moting,Bayern München,2.9,63.9,703,27,CMR
12,Xavi Simons,RB Leipzig,2.8,60.0,2673,32,NED
13,Victor Okoh Boniface,Bayer 04 Leverkusen,2.7,52.3,1553,23,NGA
14,Chris Führich,VfB Stuttgart,2.5,51.8,2594,34,GER
15,Brenden Aaronson,1. FC Union Berlin,2.4,45.3,1263,30,USA
16,Kingsley Coman,Bayern München,2.3,47.5,1123,17,FRA
17,Justin Njinmah,SV Werder Bremen,2.3,44.8,1012,24,GER
18,Nick Woltemade,SV Werder Bremen,2.2,65.9,1182,30,GER
19,Lukas Daschner,VfL Bochum,2.1,60.0,525,20,GER
20,Kouadio Koné,Borussia Mönchengladbach,2.1,58.7,1565,22,FRA
21,Donyell Malen,Borussia Dortmund,2.1,51.2,1783,27,NED
22,Ritsu Doan,SC Freiburg,2.1,49.1,2253,30,JPN
23,Benedict Hollerbach,1. FC Union Berlin,2.1,42.3,1283,28,GER
24,Marco Richter,1. FSV Mainz 05,2.0,47.1,713,20,GER
25,Adrian Beck,1. FC Heidenheim 1846,1.9,61.8,971,23,GER
26,Jeremie Frimpong,Bayer 04 Leverkusen,1.9,50.0,2263,31,NED
27,Eric Ebimbe,Eintracht Frankfurt,1.9,48.8,1967,31,FRA
28,Dani Olmo,RB Leipzig,1.9,44.9,1454,21,ESP
29,Max Finkgrafe,FC Köln,1.8,63.2,1756,24,GER
30,Enzo Millot,VfB Stuttgart,1.8,55.4,2254,31,FRA
31,Dion Drena Beljo,FC Augsburg,1.8,52.4,562,26,CRO
32,Tiago Tomás,VfL Wolfsburg,1.8,42.9,1029,26,POR
33,Karim Adeyemi,Borussia Dortmund,1.8,36.0,911,21,GER
34,Mitchell Weiser,SV Werder Bremen,1.7,50.0,2639,30,GER
35,Nadiem Amiri,1. FSV Mainz 05,1.7,48.1,1401,23,GER
36,Goncalo Paciencia,VfL Bochum,1.7,46.2,645,19,POR
37,Robin Hack,Borussia Mönchengladbach,1.7,45.6,1345,29,GER
38,Faride Alidou,FC Köln,1.7,38.7,1284,26,GER
39,Jessic Ngankam,1. FSV Mainz 05,1.6,57.1,450,22,GER
40,Youssoufa Moukoko,Borussia Dortmund,1.6,52.4,614,20,GER
41,Sven Michel,FC Augsburg,1.6,47.6,574,22,GER
42,András Schäfer,1. FC Union Berlin,1.6,44.7,1218,20,HUN
43,Maximilian Mittelstaedt,VfB Stuttgart,1.5,65.5,2104,31,GER
44,Jamie Leweling,VfB Stuttgart,1.5,49.1,1519,34,GER
45,Omar Marmoush,Eintracht Frankfurt,1.5,37.9,2310,29,EGY
46,Ramy Bensebaini,Borussia Dortmund,1.4,100.0,1030,17,ALG
47,Christoph Baumgartner,RB Leipzig,1.4,54.5,1149,32,AUT
48,Gian-Luca Waldschmidt,FC Köln,1.4,47.4,1151,22,GER
49,Eren Dinkci,1. FC Heidenheim 1846,1.4,47.1,2672,33,TUR
50,Ihlas Bebou,TSG Hoffenheim,1.4,44.8,1628,32,TOG
