Rank,Player,Team,Clearances per 90,Total Clearances,Minutes,Matches,Country
1,John Anthony Brooks,TSG Hoffenheim,6.2,106.0,1539,21,USA
2,Ivan Ordets,VfL Bochum,6.0,126.0,1879,24,UKR
3,Felix Uduokhai,FC Augsburg,5.4,174.0,2922,33,GER
4,Timo Hübers,FC Köln,5.4,167.0,2779,31,GER
5,Nico Elvedi,Borussia Mönchengladbach,5.2,143.0,2485,30,SUI
6,Marco Friedl,SV Werder Bremen,5.2,127.0,2198,25,AUT
7,Marvin Friedrich,Borussia Mönchengladbach,5.0,86.0,1561,24,GER
8,Sepp van den Berg,1. FSV Mainz 05,4.9,154.0,2838,33,NED
9,Christoph Zimmermann,SV Darmstadt,4.9,66.0,1216,19,GER
10,Niklas Stark,SV Werder Bremen,4.9,59.0,1086,17,GER
11,Diogo Leite,1. FC Union Berlin,4.8,143.0,2708,32,POR
12,Sebastiaan Bornauw,VfL Wolfsburg,4.8,77.0,1431,20,BEL
13,Matej Maglica,SV Darmstadt,4.7,88.0,1701,26,CRO
14,Cedric Zesiger,VfL Wolfsburg,4.7,86.0,1634,23,SUI
15,Moritz Jenz,VfL Wolfsburg,4.7,91.0,1745,22,GER
16,Patrick Mainka,1. FC Heidenheim 1846,4.6,156.0,3060,34,GER
17,Waldemar Anton,VfB Stuttgart,4.6,148.0,2888,33,GER
18,Mats Hummels,Borussia Dortmund,4.6,81.0,1581,25,GER
19,Maximilian Wöber,Borussia Mönchengladbach,4.6,106.0,2070,25,AUT
20,Dan-Axel Zagadou,VfB Stuttgart,4.6,74.0,1453,19,FRA
21,Julian Chabot,FC Köln,4.5,136.0,2707,32,GER
22,Robin Koch,Eintracht Frankfurt,4.4,135.0,2740,31,GER
23,Maxence Lacroix,VfL Wolfsburg,4.4,116.0,2364,28,FRA
24,Benedikt Gimber,1. FC Heidenheim 1846,4.4,98.0,2026,24,GER
25,Danilho Doekhi,1. FC Union Berlin,4.3,103.0,2160,24,NED
26,Matthias Ginter,SC Freiburg,4.3,92.0,1918,23,GER
27,Willian Pacho,Eintracht Frankfurt,4.2,140.0,2970,33,ECU
28,Willi Orban,RB Leipzig,4.2,73.0,1583,19,HUN
29,Ozan Kabak,TSG Hoffenheim,4.1,105.0,2290,28,TUR
30,Keven Schlotterbeck,VfL Bochum,4.1,100.0,2184,27,GER
31,Kevin Vogt,1. FC Union Berlin,4.0,116.0,2643,32,GER
32,Castello Lukeba,RB Leipzig,3.8,92.0,2185,32,FRA
33,Lukas Klostermann,RB Leipzig,3.8,60.0,1433,25,GER
34,Jeffrey Gouweleeuw,FC Augsburg,3.6,104.0,2594,30,NED
35,Edimilson Fernandes,1. FSV Mainz 05,3.6,52.0,1284,21,SUI
36,Manuel Gulde,SC Freiburg,3.5,79.0,2048,27,GER
37,Christoph Klarer,SV Darmstadt,3.4,90.0,2356,30,AUT
38,Florian Grillitsch,TSG Hoffenheim,3.4,86.0,2297,30,AUT
39,Niklas Süle,Borussia Dortmund,3.4,57.0,1509,23,GER
40,Matthijs de Ligt,Bayern München,3.4,52.0,1389,22,NED
41,Ko Itakura,Borussia Mönchengladbach,3.4,60.0,1598,20,JPN
42,Anthony Jung,SV Werder Bremen,3.3,96.0,2583,31,GER
43,Robin Knoche,1. FC Union Berlin,3.3,70.0,1916,24,GER
44,Bernardo,VfL Bochum,3.2,105.0,2924,33,BRA
45,Jonathan Tah,Bayer 04 Leverkusen,3.2,95.0,2632,31,GER
46,Lennard Maloney,1. FC Heidenheim 1846,3.2,82.0,2292,29,USA
47,Nico Schlotterbeck,Borussia Dortmund,3.1,97.0,2861,33,GER
48,Kilian Sildillia,SC Freiburg,3.1,62.0,1804,27,FRA
49,Hiroki Ito,VfB Stuttgart,3.1,78.0,2231,26,JPN
50,Min-Jae Kim,Bayern München,3.1,68.0,1970,25,KOR
51,Christian Gross,SV Werder Bremen,3.1,27.0,792,20,GER
52,Jordy Makengo,SC Freiburg,3.1,35.0,1022,20,FRA
53,Tuta,Eintracht Frankfurt,3.0,88.0,2605,30,BRA
54,Mohamed Simakan,RB Leipzig,2.9,68.0,2139,32,FRA
55,Joseph Scally,Borussia Mönchengladbach,2.9,71.0,2236,31,USA
56,Eric Martel,FC Köln,2.9,80.0,2464,30,GER
57,Erhan Masovic,VfL Bochum,2.9,71.0,2218,29,SRB
58,Jérome Roussillon,1. FC Union Berlin,2.9,24.0,743,23,FRA
59,Senne Lynen,SV Werder Bremen,2.8,55.0,1791,32,BEL
60,Christopher Trimmel,1. FC Union Berlin,2.8,52.0,1653,26,AUT
61,Robin Gosens,1. FC Union Berlin,2.7,68.0,2297,30,GER
62,Olivier Deman,SV Werder Bremen,2.7,41.0,1359,29,BEL
63,Dayot Upamecano,Bayern München,2.7,52.0,1763,25,FRA
64,Luca Netz,Borussia Mönchengladbach,2.6,64.0,2231,30,GER
65,Lukas Kübler,SC Freiburg,2.6,54.0,1848,26,GER
66,Milos Veljkovic,SV Werder Bremen,2.6,56.0,1921,23,SRB
67,Rasmus Carstensen,FC Köln,2.6,48.0,1658,23,DEN
68,Jan Schöppner,1. FC Heidenheim 1846,2.5,55.0,2000,26,GER
69,Piero Hincapié,Bayer 04 Leverkusen,2.5,42.0,1484,26,ECU
70,Klaus Gjasula,SV Darmstadt,2.5,38.0,1366,22,ALB
71,Danny da Costa,1. FSV Mainz 05,2.5,23.0,826,19,GER
72,Ramy Bensebaini,Borussia Dortmund,2.5,29.0,1030,17,ALG
73,Anton Stach,TSG Hoffenheim,2.4,67.0,2497,33,GER
74,Rani Khedira,1. FC Union Berlin,2.4,36.0,1350,20,GER
75,Kevin Akpoguma,TSG Hoffenheim,2.4,29.0,1095,17,NGA
76,Maximilian Mittelstaedt,VfB Stuttgart,2.3,53.0,2104,31,GER
77,Pavel Kaderabek,TSG Hoffenheim,2.3,62.0,2419,29,CZE
78,Aster Vranckx,VfL Wolfsburg,2.3,29.0,1143,24,BEL
79,Denis Thomalla,1. FC Heidenheim 1846,2.3,11.0,432,21,GER
80,Edmond Tapsoba,Bayer 04 Leverkusen,2.2,50.0,2084,28,BFA
81,Mads Valentin Pedersen,FC Augsburg,2.2,43.0,1783,27,DEN
82,Iago,FC Augsburg,2.2,39.0,1622,23,BRA
83,Lucas Tousart,1. FC Union Berlin,2.2,38.0,1573,23,FRA
84,Amadou Haidara,RB Leipzig,2.2,37.0,1537,21,MLI
85,Silvan Widmer,1. FSV Mainz 05,2.2,30.0,1243,20,SUI
86,Leart Paqarada,FC Köln,2.2,26.0,1073,17,KVX
87,Dominik Kohr,1. FSV Mainz 05,2.1,52.0,2190,31,GER
88,Joakim Mæhle,VfL Wolfsburg,2.1,56.0,2454,30,DEN
89,Felix Agu,SV Werder Bremen,2.1,38.0,1621,24,GER
90,Anthony Rouault,VfB Stuttgart,2.1,24.0,1008,22,FRA
91,Cristian Gamboa,VfL Bochum,2.1,28.0,1187,22,CRC
92,Jonas Föhrenbach,1. FC Heidenheim 1846,2.0,61.0,2790,33,GER
92,David Raum,RB Leipzig,2.0,61.0,2743,31,GER
92,Julian Weigl,Borussia Mönchengladbach,2.0,61.0,2766,31,GER
95,Jens Stage,SV Werder Bremen,2.0,51.0,2334,30,DEN
96,Emir Karic,SV Darmstadt,2.0,40.0,1781,27,AUT
97,Mathias Honsak,SV Darmstadt,2.0,22.0,1013,23,AUT
98,Benno Schmitz,FC Köln,2.0,26.0,1154,22,GER
99,Bartol Franjic,SV Darmstadt,2.0,28.0,1232,20,CRO
100,Maximilian Arnold,VfL Wolfsburg,1.9,54.0,2503,30,GER
101,Pascal Stenzel,VfB Stuttgart,1.9,23.0,1068,23,GER
102,Odilon Kossounou,Bayer 04 Leverkusen,1.9,39.0,1812,22,CIV
103,Tim Kleindienst,1. FC Heidenheim 1846,1.8,58.0,2874,33,GER
104,Leandro Barreiro,1. FSV Mainz 05,1.8,52.0,2606,31,LUX
