Rank,Player,Team,Expected Assists (xA),Actual Assists,Minutes,Matches,Country
1,Alejandro Grimaldo,Bayer 04 Leverkusen,11.1,13.0,2785,33,ESP
2,David Raum,RB Leipzig,10.7,8.0,2743,31,GER
3,Kevin Stöger,VfL Bochum,9.8,9.0,2678,32,AUT
4,Florian Wirtz,Bayer 04 Leverkusen,9.7,11.0,2377,32,GER
5,Leroy Sané,Bayern München,9.5,11.0,2142,27,GER
6,Franck Honorat,Borussia Mönchengladbach,9.4,9.0,2358,32,FRA
7,Joshua Kimmich,Bayern München,9.3,6.0,2185,28,GER
8,Chris Führich,VfB Stuttgart,9.2,7.0,2594,34,GER
9,Xavi Simons,RB Leipzig,9.0,11.0,2673,32,NED
10,Jonas Hofmann,Bayer 04 Leverkusen,8.3,7.0,2214,32,GER
11,Thomas Müller,Bayern München,7.9,9.0,1659,31,GER
12,Julian Brandt,Borussia Dortmund,7.5,11.0,2230,32,GER
13,Vincenzo Grifo,SC Freiburg,7.5,8.0,2344,32,ITA
14,Andrej Kramaric,TSG Hoffenheim,7.0,6.0,2206,30,CRO
15,Romano Schmid,SV Werder Bremen,6.7,6.0,2614,33,AUT
16,Maximilian Mittelstaedt,VfB Stuttgart,6.7,4.0,2104,31,GER
17,Marvin Ducksch,SV Werder Bremen,6.5,9.0,2710,33,GER
18,Jan-Niklas Beste,1. FC Heidenheim 1846,6.3,11.0,2618,31,GER
19,Deniz Undav,VfB Stuttgart,6.1,9.0,2096,30,GER
20,Fares Chaibi,Eintracht Frankfurt,6.1,4.0,1920,28,ALG
21,Benjamin Henrichs,RB Leipzig,6.0,5.0,2531,33,GER
22,Harry Kane,Bayern München,5.9,8.0,2843,32,ENG
23,Granit Xhaka,Bayer 04 Leverkusen,5.9,0.0,2828,33,SUI
24,Mitchell Weiser,SV Werder Bremen,5.8,7.0,2639,30,GER
25,Jamal Musiala,Bayern München,5.8,6.0,1766,24,GER
26,Angelo Stiller,VfB Stuttgart,5.5,5.0,2780,32,GER
27,Jeremie Frimpong,Bayer 04 Leverkusen,5.4,7.0,2263,31,NED
28,Pavel Kaderabek,TSG Hoffenheim,5.4,4.0,2419,29,CZE
29,Serhou Guirassy,VfB Stuttgart,5.4,2.0,2212,28,GUI
30,Enzo Millot,VfB Stuttgart,5.3,4.0,2254,31,FRA
31,Joakim Mæhle,VfL Wolfsburg,5.2,3.0,2454,30,DEN
32,Brajan Gruda,1. FSV Mainz 05,5.1,3.0,1651,28,GER
33,Lovro Majer,VfL Wolfsburg,4.9,5.0,2116,32,CRO
34,Leon Goretzka,Bayern München,4.7,7.0,2242,30,GER
35,Ikoma Lois Openda,RB Leipzig,4.6,7.0,2716,34,BEL
36,Florian Kainz,FC Köln,4.5,4.0,2210,33,AUT
37,Kingsley Coman,Bayern München,4.5,3.0,1123,17,FRA
37,Konrad Laimer,Bayern München,4.5,3.0,1770,29,AUT
39,Omar Marmoush,Eintracht Frankfurt,4.4,6.0,2310,29,EGY
40,Maximilian Arnold,VfL Wolfsburg,4.4,1.0,2503,30,GER
41,Fredrik Jensen,FC Augsburg,4.3,4.0,1350,22,FIN
41,Marius Bülter,TSG Hoffenheim,4.3,4.0,1346,30,GER
41,Nadiem Amiri,1. FSV Mainz 05,4.3,4.0,1401,23,GER
44,Ritsu Doan,SC Freiburg,4.2,2.0,2253,30,JPN
45,Exequiel Palacios,Bayer 04 Leverkusen,4.1,5.0,1840,24,ARG
46,Alassane Plea,Borussia Mönchengladbach,4.1,4.0,1925,27,FRA
47,Jonas Wind,VfL Wolfsburg,3.9,7.0,2660,34,DEN
48,Kevin Mbabu,FC Augsburg,3.9,2.0,2048,25,SUI
49,Mario Götze,Eintracht Frankfurt,3.8,2.0,2075,30,GER
50,Ermedin Demirovic,FC Augsburg,3.7,9.0,2879,33,BIH
51,Niclas Füllkrug,Borussia Dortmund,3.7,8.0,2405,31,GER
52,Marco Reus,Borussia Dortmund,3.7,6.0,1612,26,GER
53,Dani Olmo,RB Leipzig,3.7,5.0,1454,21,ESP
54,Eren Dinkci,1. FC Heidenheim 1846,3.7,4.0,2672,33,TUR
55,Eric Ebimbe,Eintracht Frankfurt,3.7,3.0,1967,31,FRA
56,Christopher Trimmel,1. FC Union Berlin,3.7,2.0,1653,26,AUT
57,Julian Justvan,SV Darmstadt,3.6,2.0,1069,18,GER
58,Roland Sallai,SC Freiburg,3.6,0.0,1850,27,HUN
59,Anthony Caci,1. FSV Mainz 05,3.5,3.0,2493,31,FRA
60,Matthias Bader,SV Darmstadt,3.5,2.0,1807,24,GER
61,Ridle Baku,VfL Wolfsburg,3.5,0.0,2011,33,GER
62,Phillip Tietz,FC Augsburg,3.4,4.0,2405,34,GER
63,Donyell Malen,Borussia Dortmund,3.4,1.0,1783,27,NED
