Rank,Player,Team,Expected Assists per 90,Actual Assists per 90,Minutes,Matches,Country
1,Thomas Müller,Bayern München,0.43,0.5,1659,31,GER
2,Leroy Sané,Bayern München,0.4,0.5,2142,27,GER
3,Joshua Kimmich,Bayern München,0.38,0.2,2185,28,GER
4,Florian Wirtz,Bayer 04 Leverkusen,0.37,0.4,2377,32,GER
5,Alejandro Grimaldo,Bayer 04 Leverkusen,0.36,0.4,2785,33,ESP
6,Franck Honorat,Borussia Mönchengladbach,0.36,0.3,2358,32,FRA
7,Kingsley Coman,Bayern München,0.36,0.2,1123,17,FRA
8,David Raum,RB Leipzig,0.35,0.3,2743,31,GER
9,Jakub Kaminski,VfL Wolfsburg,0.34,0.4,465,17,POL
10,Jonas Hofmann,Bayer 04 Leverkusen,0.34,0.3,2214,32,GER
11,Florian Pick,1. FC Heidenheim 1846,0.33,0.3,315,22,GER
11,Kevin Stöger,VfL Bochum,0.33,0.3,2678,32,AUT
13,Chris Führich,VfB Stuttgart,0.32,0.2,2594,34,GER
13,Nathan Tella,Bayer 04 Leverkusen,0.32,0.2,812,24,NGA
15,Julian Brandt,Borussia Dortmund,0.3,0.4,2230,32,GER
15,Xavi Simons,RB Leipzig,0.3,0.4,2673,32,NED
17,Jamal Musiala,Bayern München,0.3,0.3,1766,24,GER
18,Julian Justvan,SV Darmstadt,0.3,0.2,1069,18,GER
19,Amine Adli,Bayer 04 Leverkusen,0.29,0.4,890,23,MAR
20,Marius Bülter,TSG Hoffenheim,0.29,0.3,1346,30,GER
20,Vincenzo Grifo,SC Freiburg,0.29,0.3,2344,32,ITA
22,Andrej Kramaric,TSG Hoffenheim,0.29,0.2,2206,30,CRO
22,Fares Chaibi,Eintracht Frankfurt,0.29,0.2,1920,28,ALG
22,Maximilian Mittelstaedt,VfB Stuttgart,0.29,0.2,2104,31,GER
25,Fredrik Jensen,FC Augsburg,0.28,0.3,1350,22,FIN
26,Brajan Gruda,1. FSV Mainz 05,0.28,0.2,1651,28,GER
27,Nadiem Amiri,1. FSV Mainz 05,0.27,0.3,1401,23,GER
28,Deniz Undav,VfB Stuttgart,0.26,0.4,2096,30,GER
28,Mathys Tel,Bayern München,0.26,0.4,1031,30,FRA
30,Marco Richter,1. FSV Mainz 05,0.26,0.0,713,20,GER
30,Raphaël Guerreiro,Bayern München,0.26,0.0,1194,20,POR
32,Arne Maier,FC Augsburg,0.25,0.4,998,22,GER
33,Jamie Bynoe-Gittens,Borussia Dortmund,0.25,0.3,1059,25,ENG
34,Leart Paqarada,FC Köln,0.25,0.0,1073,17,KVX
34,Václav Cerny,VfL Wolfsburg,0.25,0.0,923,22,CZE
36,Adam Hlozek,Bayer 04 Leverkusen,0.23,0.6,451,23,CZE
37,Woo-Yeong Jeong,VfB Stuttgart,0.23,0.4,618,26,KOR
38,Dani Olmo,RB Leipzig,0.23,0.3,1454,21,ESP
39,Konrad Laimer,Bayern München,0.23,0.2,1770,29,AUT
39,Romano Schmid,SV Werder Bremen,0.23,0.2,2614,33,AUT
41,Maximilian Wittek,VfL Bochum,0.23,0.1,1067,21,GER
42,Jan-Niklas Beste,1. FC Heidenheim 1846,0.22,0.4,2618,31,GER
43,Jeremie Frimpong,Bayer 04 Leverkusen,0.22,0.3,2263,31,NED
43,Marvin Ducksch,SV Werder Bremen,0.22,0.3,2710,33,GER
45,Noah Weisshaupt,SC Freiburg,0.22,0.2,744,24,GER
46,Christopher Antwi-Adjej,VfL Bochum,0.22,0.1,1216,25,GHA
46,Serhou Guirassy,VfB Stuttgart,0.22,0.1,2212,28,GUI
48,Marco Reus,Borussia Dortmund,0.21,0.3,1612,26,GER
49,Benjamin Henrichs,RB Leipzig,0.21,0.2,2531,33,GER
49,Enzo Millot,VfB Stuttgart,0.21,0.2,2254,31,FRA
49,Lovro Majer,VfL Wolfsburg,0.21,0.2,2116,32,CRO
49,Lukas Daschner,VfL Bochum,0.21,0.2,525,20,GER
53,Josip Juranovic,1. FC Union Berlin,0.21,0.1,1290,21,CRO
54,Pascal Stenzel,VfB Stuttgart,0.2,0.4,1068,23,GER
55,Exequiel Palacios,Bayer 04 Leverkusen,0.2,0.2,1840,24,ARG
55,Justin Njinmah,SV Werder Bremen,0.2,0.2,1012,24,GER
55,Mitchell Weiser,SV Werder Bremen,0.2,0.2,2639,30,GER
58,Christopher Trimmel,1. FC Union Berlin,0.2,0.1,1653,26,AUT
58,Pavel Kaderabek,TSG Hoffenheim,0.2,0.1,2419,29,CZE
60,Victor Okoh Boniface,Bayer 04 Leverkusen,0.19,0.5,1553,23,NGA
61,Harry Kane,Bayern München,0.19,0.3,2843,32,ENG
61,Leon Goretzka,Bayern München,0.19,0.3,2242,30,GER
63,Alassane Plea,Borussia Mönchengladbach,0.19,0.2,1925,27,FRA
63,Jamie Leweling,VfB Stuttgart,0.19,0.2,1519,34,GER
65,Florian Neuhaus,Borussia Mönchengladbach,0.19,0.1,1226,25,GER
65,Joakim Mæhle,VfL Wolfsburg,0.19,0.1,2454,30,DEN
65,Nathan N'Goumou,Borussia Mönchengladbach,0.19,0.1,1381,32,FRA
68,Granit Xhaka,Bayer 04 Leverkusen,0.19,0.0,2828,33,SUI
69,Angelo Stiller,VfB Stuttgart,0.18,0.2,2780,32,GER
69,Florian Kainz,FC Köln,0.18,0.2,2210,33,AUT
69,Noussair Mazraoui,Bayern München,0.18,0.2,1197,19,MAR
69,Silvan Widmer,1. FSV Mainz 05,0.18,0.2,1243,20,SUI
73,Marius Wolf,Borussia Dortmund,0.18,0.1,1161,22,GER
74,Rafael Santos Borre,SV Werder Bremen,0.18,0.0,989,19,COL
74,Rasmus Carstensen,FC Köln,0.18,0.0,1658,23,DEN
76,Eric Maxim Choupo-Moting,Bayern München,0.17,0.3,703,27,CMR
77,Omar Marmoush,Eintracht Frankfurt,0.17,0.2,2310,29,EGY
77,Silas Katompa Mvumpa,VfB Stuttgart,0.17,0.2,890,27,COD
77,Umut Tohumcu,TSG Hoffenheim,0.17,0.2,1012,20,GER
80,Donyell Malen,Borussia Dortmund,0.17,0.1,1783,27,NED
80,Eric Ebimbe,Eintracht Frankfurt,0.17,0.1,1967,31,FRA
80,Kevin Mbabu,FC Augsburg,0.17,0.1,2048,25,SUI
80,Matthias Bader,SV Darmstadt,0.17,0.1,1807,24,GER
80,Ritsu Doan,SC Freiburg,0.17,0.1,2253,30,JPN
80,Tobias Kempe,SV Darmstadt,0.17,0.1,1351,24,GER
80,Yussuf Poulsen,RB Leipzig,0.17,0.1,1209,28,DEN
87,Denis Thomalla,1. FC Heidenheim 1846,0.17,0.0,432,21,GER
87,Roland Sallai,SC Freiburg,0.17,0.0,1850,27,HUN
89,Ihlas Bebou,TSG Hoffenheim,0.16,0.3,1628,32,TOG
89,Kevin Volland,1. FC Union Berlin,0.16,0.3,1346,26,GER
91,Iago,FC Augsburg,0.16,0.1,1622,23,BRA
91,Karim Adeyemi,Borussia Dortmund,0.16,0.1,911,21,GER
91,Leonardo Bittencourt,SV Werder Bremen,0.16,0.1,1585,29,GER
91,Linton Maina,FC Köln,0.16,0.1,1904,31,GER
91,Mario Götze,Eintracht Frankfurt,0.16,0.1,2075,30,GER
91,Philipp Max,Eintracht Frankfurt,0.16,0.1,1357,23,GER
97,Kevin Sessa,1. FC Heidenheim 1846,0.16,0.0,1001,30,GER
97,Maximilian Arnold,VfL Wolfsburg,0.16,0.0,2503,30,GER
97,Ridle Baku,VfL Wolfsburg,0.16,0.0,2011,33,GER
100,Ikoma Lois Openda,RB Leipzig,0.15,0.2,2716,34,BEL
101,Fabian Nürnberger,SV Darmstadt,0.15,0.1,1519,21,GER
102,Dawid Kownacki,SV Werder Bremen,0.15,0.0,366,22,POL
