Rank,Player,Team,Expected Goals (xG),Actual Goals,Minutes,Matches,Country
1,Harry Kane,Bayern München,30.6,36.0,2843,32,ENG
2,Ikoma Lois Openda,RB Leipzig,22.2,24.0,2716,34,BEL
3,Serhou Guirassy,VfB Stuttgart,20.8,28.0,2212,28,GUI
4,Victor Okoh Boniface,Bayer 04 Leverkusen,15.5,14.0,1553,23,NGA
5,Deniz Undav,VfB Stuttgart,15.1,18.0,2096,30,GER
6,Tim Kleindienst,1. FC Heidenheim 1846,13.9,12.0,2874,33,GER
7,Ermedin Demirovic,FC Augsburg,13.6,15.0,2879,33,BIH
8,Niclas Füllkrug,Borussia Dortmund,12.9,12.0,2405,31,GER
9,Marvin Ducksch,SV Werder Bremen,12.8,12.0,2710,33,GER
10,Omar Marmoush,Eintracht Frankfurt,11.6,12.0,2310,29,EGY
11,Maximilian Beier,TSG Hoffenheim,11.4,16.0,2431,33,GER
12,Andrej Kramaric,TSG Hoffenheim,11.1,15.0,2206,30,CRO
13,Leroy Sané,Bayern München,10.9,8.0,2142,27,GER
14,Donyell Malen,Borussia Dortmund,9.5,13.0,1783,27,NED
15,Jonas Wind,VfL Wolfsburg,9.4,11.0,2660,34,DEN
16,Michael Gregoritsch,SC Freiburg,9.4,7.0,1684,32,AUT
17,Florian Wirtz,Bayer 04 Leverkusen,9.0,11.0,2377,32,GER
18,Lucas Höler,SC Freiburg,8.6,7.0,2309,33,GER
19,Xavi Simons,RB Leipzig,8.3,8.0,2673,32,NED
20,Jeremie Frimpong,Bayer 04 Leverkusen,8.2,9.0,2263,31,NED
21,Phillip Tietz,FC Augsburg,8.2,8.0,2405,34,GER
22,Roland Sallai,SC Freiburg,8.0,3.0,1850,27,HUN
23,Jamal Musiala,Bayern München,7.9,10.0,1766,24,GER
24,Takuma Asano,VfL Bochum,7.9,6.0,2003,29,JPN
25,Benjamin Sesko,RB Leipzig,7.7,14.0,1528,31,SVN
26,Vincenzo Grifo,SC Freiburg,7.7,8.0,2344,32,ITA
27,Kevin Behrens,VfL Wolfsburg,7.6,5.0,1880,31,GER
28,Wout Weghorst,TSG Hoffenheim,7.5,7.0,1987,28,NED
29,Alassane Plea,Borussia Mönchengladbach,7.0,7.0,1925,27,FRA
30,Jordan Pefok,Borussia Mönchengladbach,6.9,5.0,1450,26,USA
31,Chris Führich,VfB Stuttgart,6.6,8.0,2594,34,GER
32,Marco Reus,Borussia Dortmund,6.5,6.0,1612,26,GER
33,Thomas Müller,Bayern München,6.3,5.0,1659,31,GER
34,Kevin Stöger,VfL Bochum,6.2,7.0,2678,32,AUT
35,Jamie Leweling,VfB Stuttgart,6.2,4.0,1519,34,GER
36,Jonathan Burkardt,1. FSV Mainz 05,6.1,8.0,1541,21,GER
37,Patrik Schick,Bayer 04 Leverkusen,6.0,7.0,1064,20,CZE
