Rank,Player,Team,Expected Goals on Target (xGOT),Actual Goals,Minutes,Matches,Country
1,Harry Kane,Bayern München,34.3,36.0,2843,32,ENG
2,Ikoma Lois Openda,RB Leipzig,23.8,24.0,2716,34,BEL
3,Serhou Guirassy,VfB Stuttgart,21.9,28.0,2212,28,GUI
4,Deniz Undav,VfB Stuttgart,17.8,18.0,2096,30,GER
5,Victor Okoh Boniface,Bayer 04 Leverkusen,15.9,14.0,1553,23,NGA
6,Ermedin Demirovic,FC Augsburg,14.9,15.0,2879,33,BIH
7,Tim Kleindienst,1. FC Heidenheim 1846,14.5,12.0,2874,33,GER
8,Maximilian Beier,TSG Hoffenheim,14.1,16.0,2431,33,GER
9,Marvin Ducksch,SV Werder Bremen,13.5,12.0,2710,33,GER
10,Andrej Kramaric,TSG Hoffenheim,13.4,15.0,2206,30,CRO
11,Niclas Füllkrug,Borussia Dortmund,13.0,12.0,2405,31,GER
12,Omar Marmoush,Eintracht Frankfurt,12.4,12.0,2310,29,EGY
13,Donyell Malen,Borussia Dortmund,12.1,13.0,1783,27,NED
14,Florian Wirtz,Bayer 04 Leverkusen,11.6,11.0,2377,32,GER
15,Jonas Wind,VfL Wolfsburg,11.3,11.0,2660,34,DEN
16,Leroy Sané,Bayern München,10.7,8.0,2142,27,GER
17,Chris Führich,VfB Stuttgart,10.0,8.0,2594,34,GER
18,Marco Reus,Borussia Dortmund,9.9,6.0,1612,26,GER
19,Jamal Musiala,Bayern München,9.6,10.0,1766,24,GER
20,Vincenzo Grifo,SC Freiburg,9.6,8.0,2344,32,ITA
21,Jeremie Frimpong,Bayer 04 Leverkusen,9.5,9.0,2263,31,NED
22,Lucas Höler,SC Freiburg,8.7,7.0,2309,33,GER
23,Benjamin Sesko,RB Leipzig,8.4,14.0,1528,31,SVN
24,Yussuf Poulsen,RB Leipzig,8.4,5.0,1209,28,DEN
25,Jamie Leweling,VfB Stuttgart,8.1,4.0,1519,34,GER
26,Xavi Simons,RB Leipzig,8.0,8.0,2673,32,NED
27,Michael Gregoritsch,SC Freiburg,7.6,7.0,1684,32,AUT
28,Takuma Asano,VfL Bochum,7.6,6.0,2003,29,JPN
29,Alejandro Grimaldo,Bayer 04 Leverkusen,7.5,10.0,2785,33,ESP
30,Kevin Stöger,VfL Bochum,7.4,7.0,2678,32,AUT
31,Jonathan Burkardt,1. FSV Mainz 05,7.3,8.0,1541,21,GER
32,Robin Hack,Borussia Mönchengladbach,7.1,10.0,1345,29,GER
33,Alassane Plea,Borussia Mönchengladbach,7.1,7.0,1925,27,FRA
34,Tomas Cvancara,Borussia Mönchengladbach,6.4,4.0,892,21,CZE
35,Julian Brandt,Borussia Dortmund,6.3,7.0,2230,32,GER
36,Wout Weghorst,TSG Hoffenheim,6.2,7.0,1987,28,NED
37,Kevin Behrens,VfL Wolfsburg,6.2,5.0,1880,31,GER
37,Lovro Majer,VfL Wolfsburg,6.2,5.0,2116,32,CRO
39,Ansgar Knauff,Eintracht Frankfurt,6.0,7.0,2117,31,GER
40,Jonas Hofmann,Bayer 04 Leverkusen,6.0,5.0,2214,32,GER
41,Ritsu Doan,SC Freiburg,5.9,7.0,2253,30,JPN
42,Tim Skarke,SV Darmstadt,5.7,8.0,2418,30,GER
43,Roland Sallai,SC Freiburg,5.7,3.0,1850,27,HUN
44,Jan-Niklas Beste,1. FC Heidenheim 1846,5.6,8.0,2618,31,GER
44,Phillip Tietz,FC Augsburg,5.6,8.0,2405,34,GER
46,Leandro Barreiro,1. FSV Mainz 05,5.6,4.0,2606,31,LUX
47,Justin Njinmah,SV Werder Bremen,5.5,6.0,1012,24,GER
47,Rocco Reitz,Borussia Mönchengladbach,5.5,6.0,2141,34,GER
49,Enzo Millot,VfB Stuttgart,5.5,5.0,2254,31,FRA
50,Patrik Schick,Bayer 04 Leverkusen,5.4,7.0,1064,20,CZE
51,Florian Kainz,FC Köln,5.4,5.0,2210,33,AUT
52,Luca Pfeiffer,SV Darmstadt,5.4,1.0,1625,24,GER
53,Brajan Gruda,1. FSV Mainz 05,5.3,4.0,1651,28,GER
54,Ihlas Bebou,TSG Hoffenheim,5.1,7.0,1628,32,TOG
54,Mathys Tel,Bayern München,5.1,7.0,1031,30,FRA
56,Davie Selke,FC Köln,5.1,6.0,1271,19,GER
57,Eric Ebimbe,Eintracht Frankfurt,5.1,5.0,1967,31,FRA
58,Eren Dinkci,1. FC Heidenheim 1846,4.8,10.0,2672,33,TUR
59,Jordan Pefok,Borussia Mönchengladbach,4.8,5.0,1450,26,USA
59,Thomas Müller,Bayern München,4.8,5.0,1659,31,GER
61,Amine Adli,Bayer 04 Leverkusen,4.8,4.0,890,23,MAR
62,Florian Neuhaus,Borussia Mönchengladbach,4.7,4.0,1226,25,GER
63,Karim Adeyemi,Borussia Dortmund,4.7,3.0,911,21,GER
64,Nathan N'Goumou,Borussia Mönchengladbach,4.6,5.0,1381,32,FRA
65,Nathan Tella,Bayer 04 Leverkusen,4.5,5.0,812,24,NGA
66,Philipp Hofmann,VfL Bochum,4.4,4.0,1576,29,GER
67,Sven Michel,FC Augsburg,4.4,2.0,574,22,GER
68,Romano Schmid,SV Werder Bremen,4.3,4.0,2614,33,AUT
69,Kevin Volland,1. FC Union Berlin,4.3,3.0,1346,26,GER
70,Jae-Sung Lee,1. FSV Mainz 05,4.2,6.0,2124,29,KOR
71,Mitchell Weiser,SV Werder Bremen,4.1,3.0,2639,30,GER
72,Marcel Sabitzer,Borussia Dortmund,4.0,4.0,1964,25,AUT
