Rank,Player,Team,Expected Goals per 90,Goals per 90,Minutes,Matches,Country
1,Harry Kane,Bayern München,0.97,1.14,2843,32,ENG
2,Victor Okoh Boniface,Bayer 04 Leverkusen,0.9,0.81,1553,23,NGA
3,Serhou Guirassy,VfB Stuttgart,0.85,1.14,2212,28,GUI
4,Ikoma Lois Openda,RB Leipzig,0.74,0.8,2716,34,BEL
5,Deniz Undav,VfB Stuttgart,0.65,0.77,2096,30,GER
6,Adam Hlozek,Bayer 04 Leverkusen,0.61,0.4,451,23,CZE
7,Tomas Cvancara,Borussia Mönchengladbach,0.6,0.4,892,21,CZE
8,Youssoufa Moukoko,Borussia Dortmund,0.58,0.73,614,20,GER
9,Eric Maxim Choupo-Moting,Bayern München,0.58,0.26,703,27,CMR
10,Silas Katompa Mvumpa,VfB Stuttgart,0.57,0.51,890,27,COD
11,Patrik Schick,Bayer 04 Leverkusen,0.51,0.59,1064,20,CZE
12,Sven Michel,FC Augsburg,0.51,0.31,574,22,GER
13,Michael Gregoritsch,SC Freiburg,0.5,0.37,1684,32,AUT
14,Donyell Malen,Borussia Dortmund,0.48,0.66,1783,27,NED
15,Niclas Füllkrug,Borussia Dortmund,0.48,0.45,2405,31,GER
16,Dion Drena Beljo,FC Augsburg,0.48,0.32,562,26,CRO
17,Leroy Sané,Bayern München,0.46,0.34,2142,27,GER
18,Sargis Adamyan,FC Köln,0.46,0.11,797,20,ARM
19,Benjamin Sesko,RB Leipzig,0.45,0.82,1528,31,SVN
20,Andrej Kramaric,TSG Hoffenheim,0.45,0.61,2206,30,CRO
21,Omar Marmoush,Eintracht Frankfurt,0.45,0.47,2310,29,EGY
22,Justin Njinmah,SV Werder Bremen,0.44,0.53,1012,24,GER
23,Tim Kleindienst,1. FC Heidenheim 1846,0.44,0.38,2874,33,GER
24,Yussuf Poulsen,RB Leipzig,0.43,0.37,1209,28,DEN
25,Jordan Pefok,Borussia Mönchengladbach,0.43,0.31,1450,26,USA
26,Maximilian Beier,TSG Hoffenheim,0.42,0.59,2431,33,GER
27,Ermedin Demirovic,FC Augsburg,0.42,0.47,2879,33,BIH
28,Marvin Ducksch,SV Werder Bremen,0.42,0.4,2710,33,GER
29,Jessic Ngankam,1. FSV Mainz 05,0.42,0.0,450,22,GER
30,Goncalo Paciencia,VfL Bochum,0.41,0.42,645,19,POR
31,Jamal Musiala,Bayern München,0.4,0.51,1766,24,GER
32,Lukas Daschner,VfL Bochum,0.4,0.17,525,20,GER
33,Nathan Tella,Bayer 04 Leverkusen,0.39,0.55,812,24,NGA
34,Roland Sallai,SC Freiburg,0.39,0.15,1850,27,HUN
35,Kevin Behrens,VfL Wolfsburg,0.37,0.24,1880,31,GER
36,Jonathan Burkardt,1. FSV Mainz 05,0.36,0.47,1541,21,GER
37,Marco Reus,Borussia Dortmund,0.36,0.33,1612,26,GER
