Rank,Player,Team,Fouls Committed per 90,Yellow Cards,Minutes,Matches,Country
1,Jessic Ngankam,1. FSV Mainz 05,3.8,2.0,450,22,GER
2,Maximilian Philipp,SC Freiburg,2.9,2.0,311,17,GER
3,Tim Kleindienst,1. FC Heidenheim 1846,2.8,6.0,2874,33,GER
4,Aster Vranckx,VfL Wolfsburg,2.3,6.0,1143,24,BEL
5,Marvin Pieringer,1. FC Heidenheim 1846,2.3,5.0,1520,31,GER
6,Moritz Broschinski,VfL Bochum,2.3,4.0,1242,26,GER
7,Jordan Pefok,Borussia Mönchengladbach,2.3,2.0,1450,26,USA
8,Mattias Svanberg,VfL Wolfsburg,2.2,8.0,1725,25,SWE
9,Eric Ebimbe,Eintracht Frankfurt,2.2,5.0,1967,31,FRA
10,Dawid Kownacki,SV Werder Bremen,2.2,0.0,366,22,POL
11,Matus Bero,VfL Bochum,2.1,6.0,1665,24,SVK
12,Tom Krauss,1. FSV Mainz 05,2.1,5.0,1339,29,GER
13,Christoph Baumgartner,RB Leipzig,2.1,3.0,1149,32,AUT
13,Merlin Röhl,SC Freiburg,2.1,3.0,1483,24,GER
15,Oscar Vilhelmsson,SV Darmstadt,2.1,2.0,1375,26,SWE
16,Dominik Kohr,1. FSV Mainz 05,2.0,13.0,2190,31,GER
17,Leandro Barreiro,1. FSV Mainz 05,2.0,8.0,2606,31,LUX
18,Roland Sallai,SC Freiburg,2.0,6.0,1850,27,HUN
19,Kevin Mbabu,FC Augsburg,2.0,5.0,2048,25,SUI
20,Karim Adeyemi,Borussia Dortmund,2.0,4.0,911,21,GER
21,Benedict Hollerbach,1. FC Union Berlin,2.0,2.0,1283,28,GER
21,Sargis Adamyan,FC Köln,2.0,2.0,797,20,ARM
23,Leonardo Bittencourt,SV Werder Bremen,1.9,9.0,1585,29,GER
24,Ermedin Demirovic,FC Augsburg,1.9,7.0,2879,33,BIH
25,Eric Martel,FC Köln,1.9,6.0,2464,30,GER
26,Jens Stage,SV Werder Bremen,1.9,5.0,2334,30,DEN
27,Ludovic Ajorque,1. FSV Mainz 05,1.9,4.0,1355,26,FRA
28,Niels Nkounkou,Eintracht Frankfurt,1.9,3.0,1301,29,FRA
29,Sven Michel,FC Augsburg,1.9,2.0,574,22,GER
30,Karim Onisiwo,1. FSV Mainz 05,1.9,1.0,1496,24,AUT
30,Kevin Volland,1. FC Union Berlin,1.9,1.0,1346,26,GER
32,Benedikt Gimber,1. FC Heidenheim 1846,1.8,9.0,2026,24,GER
33,Senne Lynen,SV Werder Bremen,1.8,6.0,1791,32,BEL
34,Lucas Tousart,1. FC Union Berlin,1.8,5.0,1573,23,FRA
34,Olivier Deman,SV Werder Bremen,1.8,5.0,1359,29,BEL
36,Bernardo,VfL Bochum,1.7,9.0,2924,33,BRA
37,Kristijan Jakic,FC Augsburg,1.7,5.0,1253,18,CRO
37,Mads Valentin Pedersen,FC Augsburg,1.7,5.0,1783,27,DEN
37,Rani Khedira,1. FC Union Berlin,1.7,5.0,1350,20,GER
37,Sebastiaan Bornauw,VfL Wolfsburg,1.7,5.0,1431,20,BEL
41,Fabian Holland,SV Darmstadt,1.7,4.0,1847,23,GER
41,Maximilian Wittek,VfL Bochum,1.7,4.0,1067,21,GER
41,Niklas Stark,SV Werder Bremen,1.7,4.0,1086,17,GER
44,Davie Selke,FC Köln,1.7,3.0,1271,19,GER
44,Salih Özcan,Borussia Dortmund,1.7,3.0,1179,23,TUR
46,Aissa Laidouni,1. FC Union Berlin,1.7,2.0,1064,23,TUN
46,Florian Pick,1. FC Heidenheim 1846,1.7,2.0,315,22,GER
48,Christian Gross,SV Werder Bremen,1.7,1.0,792,20,GER
48,Lennard Maloney,1. FC Heidenheim 1846,1.7,1.0,2292,29,USA
48,Nick Woltemade,SV Werder Bremen,1.7,1.0,1182,30,GER
51,Ko Itakura,Borussia Mönchengladbach,1.6,9.0,1598,20,JPN
52,Janik Haberer,1. FC Union Berlin,1.6,7.0,1223,21,GER
52,Matej Maglica,SV Darmstadt,1.6,7.0,1701,26,CRO
54,Lovro Majer,VfL Wolfsburg,1.6,5.0,2116,32,CRO
55,Kouadio Koné,Borussia Mönchengladbach,1.6,4.0,1565,22,FRA
56,Luca Pfeiffer,SV Darmstadt,1.6,3.0,1625,24,GER
