Rank,Player,Team,Goals Conceded per 90,Total Goals Conceded,Minutes,Matches,Country
1,Marcel Schuhen,SV Darmstadt,2.5,76.0,2790,31,GER
2,Manuel Riemann,VfL Bochum,2.1,70.0,2970,33,GER
3,Oliver Baumann,TSG Hoffenheim,1.9,66.0,3060,34,GER
4,Marvin Schwäbe,FC Köln,1.8,60.0,3060,34,GER
5,Moritz Nicolas,Borussia Mönchengladbach,1.8,49.0,2430,27,GER
6,Noah Atubolu,SC Freiburg,1.7,58.0,3060,34,GER
7,Frederik Rønnow,1. FC Union Berlin,1.7,56.0,2970,33,DEN
8,Finn Dahmen,FC Augsburg,1.7,52.0,2790,31,GER
9,Kevin Müller,1. FC Heidenheim 1846,1.6,55.0,3060,34,GER
10,Robin Zentner,1. FSV Mainz 05,1.6,48.0,2700,30,GER
11,Koen Casteels,VfL Wolfsburg,1.6,39.0,2250,25,BEL
12,Kevin Trapp,Eintracht Frankfurt,1.5,48.0,2880,32,GER
13,Michael Zetterer,SV Werder Bremen,1.4,37.0,2430,27,GER
14,Manuel Neuer,Bayern München,1.4,33.0,2054,23,GER
15,Janis Blaswich,RB Leipzig,1.4,30.0,1890,21,GER
16,Gregor Kobel,Borussia Dortmund,1.3,34.0,2366,27,SUI
17,Alexander Nübel,VfB Stuttgart,1.2,36.0,2700,30,GER
18,Lukas Hradecky,Bayer 04 Leverkusen,0.7,24.0,2970,33,FIN
