Rank,Player,Team,Goals per 90,Total Goals,Minutes,Matches,Country
1,Harry Kane,Bayern München,1.14,36.0,2843,32,ENG
2,Serhou Guirassy,VfB Stuttgart,1.14,28.0,2212,28,GUI
3,Benjamin Sesko,RB Leipzig,0.82,14.0,1528,31,SVN
4,Victor Okoh Boniface,Bayer 04 Leverkusen,0.81,14.0,1553,23,NGA
5,Ikoma Lois Openda,RB Leipzig,0.8,24.0,2716,34,BEL
6,Deniz Undav,VfB Stuttgart,0.77,18.0,2096,30,GER
7,Youssoufa Moukoko,Borussia Dortmund,0.73,5.0,614,20,GER
8,Robin Hack,Borussia Mönchengladbach,0.67,10.0,1345,29,GER
9,Donyell Malen,Borussia Dortmund,0.66,13.0,1783,27,NED
10,Andrej Kramaric,TSG Hoffenheim,0.61,15.0,2206,30,CRO
11,Mathys Tel,Bayern München,0.61,7.0,1031,30,FRA
12,Maximilian Beier,TSG Hoffenheim,0.59,16.0,2431,33,GER
13,Patrik Schick,Bayer 04 Leverkusen,0.59,7.0,1064,20,CZE
14,Nathan Tella,Bayer 04 Leverkusen,0.55,5.0,812,24,NGA
15,Justin Njinmah,SV Werder Bremen,0.53,6.0,1012,24,GER
16,Jamal Musiala,Bayern München,0.51,10.0,1766,24,GER
17,Silas Katompa Mvumpa,VfB Stuttgart,0.51,5.0,890,27,COD
18,Ermedin Demirovic,FC Augsburg,0.47,15.0,2879,33,BIH
19,Omar Marmoush,Eintracht Frankfurt,0.47,12.0,2310,29,EGY
20,Jonathan Burkardt,1. FSV Mainz 05,0.47,8.0,1541,21,GER
21,Niclas Füllkrug,Borussia Dortmund,0.45,12.0,2405,31,GER
22,Florian Wirtz,Bayer 04 Leverkusen,0.42,11.0,2377,32,GER
23,Davie Selke,FC Köln,0.42,6.0,1271,19,GER
24,Goncalo Paciencia,VfL Bochum,0.42,3.0,645,19,POR
24,Nikola Dovedan,1. FC Heidenheim 1846,0.42,3.0,646,21,AUT
26,Marvin Ducksch,SV Werder Bremen,0.4,12.0,2710,33,GER
27,Amine Adli,Bayer 04 Leverkusen,0.4,4.0,890,23,MAR
27,Tomas Cvancara,Borussia Mönchengladbach,0.4,4.0,892,21,CZE
29,Adam Hlozek,Bayer 04 Leverkusen,0.4,2.0,451,23,CZE
30,Ihlas Bebou,TSG Hoffenheim,0.39,7.0,1628,32,TOG
31,Christoph Baumgartner,RB Leipzig,0.39,5.0,1149,32,AUT
32,Václav Cerny,VfL Wolfsburg,0.39,4.0,923,22,CZE
33,Tim Kleindienst,1. FC Heidenheim 1846,0.38,12.0,2874,33,GER
34,Steffen Tigges,FC Köln,0.38,3.0,715,25,GER
35,Jonas Wind,VfL Wolfsburg,0.37,11.0,2660,34,DEN
36,Michael Gregoritsch,SC Freiburg,0.37,7.0,1684,32,AUT
37,Yussuf Poulsen,RB Leipzig,0.37,5.0,1209,28,DEN
38,Jeremie Frimpong,Bayer 04 Leverkusen,0.36,9.0,2263,31,NED
39,Rafael Santos Borre,SV Werder Bremen,0.36,4.0,989,19,COL
40,Benedict Hollerbach,1. FC Union Berlin,0.35,5.0,1283,28,GER
41,Eren Dinkci,1. FC Heidenheim 1846,0.34,10.0,2672,33,TUR
42,Leroy Sané,Bayern München,0.34,8.0,2142,27,GER
43,Alassane Plea,Borussia Mönchengladbach,0.33,7.0,1925,27,FRA
44,Marco Reus,Borussia Dortmund,0.33,6.0,1612,26,GER
45,Nathan N'Goumou,Borussia Mönchengladbach,0.33,5.0,1381,32,FRA
46,Alejandro Grimaldo,Bayer 04 Leverkusen,0.32,10.0,2785,33,ESP
47,Wout Weghorst,TSG Hoffenheim,0.32,7.0,1987,28,NED
48,Dion Drena Beljo,FC Augsburg,0.32,2.0,562,26,CRO
49,Vincenzo Grifo,SC Freiburg,0.31,8.0,2344,32,ITA
50,Jordan Pefok,Borussia Mönchengladbach,0.31,5.0,1450,26,USA
51,Sven Michel,FC Augsburg,0.31,2.0,574,22,GER
52,Phillip Tietz,FC Augsburg,0.3,8.0,2405,34,GER
52,Tim Skarke,SV Darmstadt,0.3,8.0,2418,30,GER
54,Ansgar Knauff,Eintracht Frankfurt,0.3,7.0,2117,31,GER
55,Karim Adeyemi,Borussia Dortmund,0.3,3.0,911,21,GER
56,Florian Neuhaus,Borussia Mönchengladbach,0.29,4.0,1226,25,GER
57,Woo-Yeong Jeong,VfB Stuttgart,0.29,2.0,618,26,KOR
58,Maximilian Philipp,SC Freiburg,0.29,1.0,311,17,GER
59,Chris Führich,VfB Stuttgart,0.28,8.0,2594,34,GER
59,Jan-Niklas Beste,1. FC Heidenheim 1846,0.28,8.0,2618,31,GER
61,Julian Brandt,Borussia Dortmund,0.28,7.0,2230,32,GER
