Rank,Player,Team,Interceptions per 90,Total Interceptions,Minutes,Matches,Country
1,Anton Stach,TSG Hoffenheim,2.7,74.0,2497,33,GER
2,Bartol Franjic,SV Darmstadt,2.2,30.0,1232,20,CRO
3,Min-Jae Kim,Bayern München,2.1,45.0,1970,25,KOR
4,Senne Lynen,SV Werder Bremen,2.1,41.0,1791,32,BEL
5,Timo Hübers,FC Köln,2.0,63.0,2779,31,GER
6,Florian Grillitsch,TSG Hoffenheim,2.0,52.0,2297,30,AUT
7,Maximilian Mittelstaedt,VfB Stuttgart,2.0,46.0,2104,31,GER
8,Marvin Mehlem,SV Darmstadt,2.0,33.0,1491,20,GER
9,Mats Hummels,Borussia Dortmund,1.9,33.0,1581,25,GER
10,Ozan Kabak,TSG Hoffenheim,1.8,46.0,2290,28,TUR
11,Rocco Reitz,Borussia Mönchengladbach,1.8,44.0,2141,34,GER
12,Dominik Kohr,1. FSV Mainz 05,1.8,43.0,2190,31,GER
13,Lukas Kübler,SC Freiburg,1.8,37.0,1848,26,GER
14,Bernardo,VfL Bochum,1.7,55.0,2924,33,BRA
15,Maximilian Wöber,Borussia Mönchengladbach,1.7,38.0,2070,25,AUT
16,Danny da Costa,1. FSV Mainz 05,1.7,16.0,826,19,GER
17,Julian Weigl,Borussia Mönchengladbach,1.6,48.0,2766,31,GER
18,Diogo Leite,1. FC Union Berlin,1.6,47.0,2708,32,POR
19,Eric Martel,FC Köln,1.6,43.0,2464,30,GER
19,Nico Elvedi,Borussia Mönchengladbach,1.6,43.0,2485,30,SUI
21,Ellyes Skhiri,Eintracht Frankfurt,1.6,39.0,2169,27,TUN
22,Danilho Doekhi,1. FC Union Berlin,1.6,38.0,2160,24,NED
23,John Anthony Brooks,TSG Hoffenheim,1.6,27.0,1539,21,USA
24,Kristijan Jakic,FC Augsburg,1.6,22.0,1253,18,CRO
25,Christoph Zimmermann,SV Darmstadt,1.6,21.0,1216,19,GER
26,Niklas Stark,SV Werder Bremen,1.6,19.0,1086,17,GER
27,Julian Chabot,FC Köln,1.5,45.0,2707,32,GER
