Rank,Player,Team,Shots on Target per 90,Shot Accuracy (%),Minutes,Matches,Country
1,Deniz Undav,VfB Stuttgart,2.3,49.5,2096,30,GER
2,Ikoma Lois Openda,RB Leipzig,2.1,51.2,2716,34,BEL
3,Harry Kane,Bayern München,2.1,45.9,2843,32,ENG
4,Victor Okoh Boniface,Bayer 04 Leverkusen,2.0,42.5,1553,23,NGA
5,Donyell Malen,Borussia Dortmund,1.8,50.0,1783,27,NED
6,Serhou Guirassy,VfB Stuttgart,1.8,48.9,2212,28,GUI
7,Goncalo Paciencia,VfL Bochum,1.8,34.2,645,19,POR
8,Michael Gregoritsch,SC Freiburg,1.7,41.9,1684,32,AUT
9,Sargis Adamyan,FC Köln,1.6,45.2,797,20,ARM
10,Mathys Tel,Bayern München,1.6,41.9,1031,30,FRA
11,Amine Adli,Bayer 04 Leverkusen,1.5,55.6,890,23,MAR
12,Benjamin Sesko,RB Leipzig,1.5,53.2,1528,31,SVN
13,Robin Hack,Borussia Mönchengladbach,1.5,51.2,1345,29,GER
14,Eric Maxim Choupo-Moting,Bayern München,1.5,46.2,703,27,CMR
15,Jamie Leweling,VfB Stuttgart,1.4,52.3,1519,34,GER
16,Andrej Kramaric,TSG Hoffenheim,1.4,49.3,2206,30,CRO
17,Maximilian Beier,TSG Hoffenheim,1.4,47.6,2431,33,GER
18,Dion Drena Beljo,FC Augsburg,1.4,47.4,562,26,CRO
19,Florian Wirtz,Bayer 04 Leverkusen,1.3,47.9,2377,32,GER
20,Marvin Ducksch,SV Werder Bremen,1.3,47.5,2710,33,GER
21,Omar Marmoush,Eintracht Frankfurt,1.3,41.8,2310,29,EGY
22,Gian-Luca Waldschmidt,FC Köln,1.3,37.2,1151,22,GER
23,Tomas Cvancara,Borussia Mönchengladbach,1.3,36.1,892,21,CZE
24,Yussuf Poulsen,RB Leipzig,1.2,55.2,1209,28,DEN
25,Nathan Tella,Bayer 04 Leverkusen,1.2,52.4,812,24,NGA
26,Jonas Wind,VfL Wolfsburg,1.2,47.9,2660,34,DEN
27,Woo-Yeong Jeong,VfB Stuttgart,1.2,44.4,618,26,KOR
28,Justin Njinmah,SV Werder Bremen,1.2,42.4,1012,24,GER
29,Florian Neuhaus,Borussia Mönchengladbach,1.2,41.0,1226,25,GER
30,Leroy Sané,Bayern München,1.2,38.4,2142,27,GER
31,Adam Hlozek,Bayer 04 Leverkusen,1.2,33.3,451,23,CZE
32,Niclas Füllkrug,Borussia Dortmund,1.1,50.0,2405,31,GER
32,Sven Michel,FC Augsburg,1.1,50.0,574,22,GER
34,Marco Reus,Borussia Dortmund,1.1,47.6,1612,26,GER
35,Ermedin Demirovic,FC Augsburg,1.1,44.4,2879,33,BIH
36,Tim Kleindienst,1. FC Heidenheim 1846,1.1,41.0,2874,33,GER
37,Steffen Tigges,FC Köln,1.1,40.9,715,25,GER
38,Xavi Simons,RB Leipzig,1.1,40.7,2673,32,NED
39,Mikkel Kaufmann,1. FC Union Berlin,1.1,40.0,479,18,DEN
40,Luca Pfeiffer,SV Darmstadt,1.1,39.6,1625,24,GER
41,Takuma Asano,VfL Bochum,1.1,36.9,2003,29,JPN
42,Jamal Musiala,Bayern München,1.1,36.2,1766,24,GER
43,Patrik Schick,Bayer 04 Leverkusen,1.1,32.5,1064,20,CZE
44,Marco Richter,1. FSV Mainz 05,1.1,23.7,713,20,GER
45,Youssoufa Moukoko,Borussia Dortmund,1.0,50.0,614,20,GER
46,Lukas Daschner,VfL Bochum,1.0,46.2,525,20,GER
47,Karim Adeyemi,Borussia Dortmund,1.0,43.5,911,21,GER
48,Jonas Hofmann,Bayer 04 Leverkusen,1.0,41.7,2214,32,GER
49,Jonathan Burkardt,1. FSV Mainz 05,1.0,41.5,1541,21,GER
50,Jessic Ngankam,1. FSV Mainz 05,1.0,33.3,450,22,GER
51,Dawid Kownacki,SV Werder Bremen,1.0,21.1,366,22,POL
52,Chris Führich,VfB Stuttgart,0.9,46.3,2594,34,GER
53,Marcel Sabitzer,Borussia Dortmund,0.9,42.6,1964,25,AUT
54,Kevin Volland,1. FC Union Berlin,0.9,38.9,1346,26,GER
55,Christoph Baumgartner,RB Leipzig,0.9,38.7,1149,32,AUT
56,Philipp Hofmann,VfL Bochum,0.9,38.5,1576,29,GER
57,Silas Katompa Mvumpa,VfB Stuttgart,0.9,37.5,890,27,COD
58,Tiago Tomás,VfL Wolfsburg,0.9,37.0,1029,26,POR
59,Kevin Behrens,VfL Wolfsburg,0.9,36.5,1880,31,GER
60,Roland Sallai,SC Freiburg,0.9,33.9,1850,27,HUN
61,Maximilian Philipp,SC Freiburg,0.9,33.3,311,17,GER
62,Alassane Plea,Borussia Mönchengladbach,0.9,32.8,1925,27,FRA
63,Dani Olmo,RB Leipzig,0.9,31.1,1454,21,ESP
64,Jamie Bynoe-Gittens,Borussia Dortmund,0.9,25.6,1059,25,ENG
65,Ritsu Doan,SC Freiburg,0.8,51.4,2253,30,JPN
66,Thomas Müller,Bayern München,0.8,38.9,1659,31,GER
67,Nathan N'Goumou,Borussia Mönchengladbach,0.8,38.7,1381,32,FRA
68,Jeremie Frimpong,Bayer 04 Leverkusen,0.8,38.2,2263,31,NED
69,Ihlas Bebou,TSG Hoffenheim,0.8,36.8,1628,32,TOG
70,Ruben Vargas,FC Augsburg,0.8,34.7,1978,31,SUI
71,Davie Selke,FC Köln,0.8,33.3,1271,19,GER
71,Faride Alidou,FC Köln,0.8,33.3,1284,26,GER
73,Eric Ebimbe,Eintracht Frankfurt,0.8,32.7,1967,31,FRA
74,Lucas Höler,SC Freiburg,0.7,52.9,2309,33,GER
75,Enzo Millot,VfB Stuttgart,0.7,46.2,2254,31,FRA
76,Eren Dinkci,1. FC Heidenheim 1846,0.7,42.9,2672,33,TUR
77,Brajan Gruda,1. FSV Mainz 05,0.7,40.0,1651,28,GER
77,Rafael Santos Borre,SV Werder Bremen,0.7,40.0,989,19,COL
79,Oscar Vilhelmsson,SV Darmstadt,0.7,39.3,1375,26,SWE
80,Jan-Niklas Beste,1. FC Heidenheim 1846,0.7,38.8,2618,31,GER
81,Wout Weghorst,TSG Hoffenheim,0.7,38.5,1987,28,NED
82,Ludovic Ajorque,1. FSV Mainz 05,0.7,37.9,1355,26,FRA
83,Vincenzo Grifo,SC Freiburg,0.7,37.5,2344,32,ITA
84,Phillip Tietz,FC Augsburg,0.7,36.5,2405,34,GER
85,Nikola Dovedan,1. FC Heidenheim 1846,0.7,35.7,646,21,AUT
86,Fares Chaibi,Eintracht Frankfurt,0.7,35.0,1920,28,ALG
87,Alejandro Grimaldo,Bayer 04 Leverkusen,0.7,32.4,2785,33,ESP
87,Jan Thielmann,FC Köln,0.7,32.4,1588,22,GER
