Rank,Player,Team,Penalties Conceded,Total Matches,Minutes,Matches,Country
1,Ivan Ordets,VfL Bochum,4.0,24.0,1879,24,UKR
2,Ansgar Knauff,Eintracht Frankfurt,3.0,31.0,2117,31,GER
3,Tim Siersleben,1. FC Heidenheim 1846,2.0,14.0,909,14,GER
4,Jordy Makengo,SC Freiburg,2.0,20.0,1022,20,FRA
5,Niklas Dorsch,FC Augsburg,2.0,21.0,1387,21,GER
6,Iago,FC Augsburg,2.0,23.0,1622,23,BRA
7,Benedikt Gimber,1. FC Heidenheim 1846,2.0,24.0,2026,24,GER
8,Mats Hummels,Borussia Dortmund,2.0,25.0,1581,25,GER
9,Gregor Kobel,Borussia Dortmund,2.0,27.0,2366,27,SUI
9,Keven Schlotterbeck,VfL Bochum,2.0,27.0,2184,27,GER
11,Lennard Maloney,1. FC Heidenheim 1846,2.0,29.0,2292,29,USA
12,Luca Netz,Borussia Mönchengladbach,2.0,30.0,2231,30,GER
13,Finn Dahmen,FC Augsburg,2.0,31.0,2790,31,GER
13,Robin Koch,Eintracht Frankfurt,2.0,31.0,2740,31,GER
15,Diogo Leite,1. FC Union Berlin,2.0,32.0,2708,32,POR
16,Benjamin Henrichs,RB Leipzig,2.0,33.0,2531,33,GER
16,Bernardo,VfL Bochum,2.0,33.0,2924,33,BRA
16,Manuel Riemann,VfL Bochum,2.0,33.0,2970,33,GER
19,Fabio Chiarodia,Borussia Mönchengladbach,1.0,7.0,149,7,ITA
19,Leonardo Bonucci,1. FC Union Berlin,1.0,7.0,463,7,ITA
21,Makoto Hasebe,Eintracht Frankfurt,1.0,8.0,217,8,JPN
22,Julian Malatini,SV Werder Bremen,1.0,11.0,602,11,ARG
22,Patric Pfeiffer,FC Augsburg,1.0,11.0,509,11,GER
22,Stanley N'Soki,TSG Hoffenheim,1.0,11.0,632,11,FRA
25,Sebastien Haller,Borussia Dortmund,1.0,14.0,389,14,CIV
26,Andreas Hanche-Olsen,1. FSV Mainz 05,1.0,15.0,995,15,NOR
26,Philipp Lienhart,SC Freiburg,1.0,15.0,1265,15,AUT
28,Kevin Akpoguma,TSG Hoffenheim,1.0,17.0,1095,17,NGA
28,Niklas Stark,SV Werder Bremen,1.0,17.0,1086,17,GER
30,Danny da Costa,1. FSV Mainz 05,1.0,19.0,826,19,GER
31,Christian Gross,SV Werder Bremen,1.0,20.0,792,20,GER
31,Rani Khedira,1. FC Union Berlin,1.0,20.0,1350,20,GER
