Rank,Player,Team,FotMob Rating,Player of the Match Awards,Minutes,Matches,Country
1,Exequiel Palacios,Bayer 04 Leverkusen,8.05,3.0,1840,24,ARG
2,Harry Kane,Bayern München,7.98,8.0,2843,32,ENG
3,Alejandro Grimaldo,Bayer 04 Leverkusen,7.98,7.0,2785,33,ESP
4,Serhou Guirassy,VfB Stuttgart,7.92,9.0,2212,28,GUI
5,Leroy Sané,Bayern München,7.82,3.0,2142,27,GER
6,Florian Wirtz,Bayer 04 Leverkusen,7.81,6.0,2377,32,GER
7,Xavi Simons,RB Leipzig,7.81,7.0,2673,32,NED
8,Victor Okoh Boniface,Bayer 04 Leverkusen,7.77,3.0,1553,23,NGA
9,Granit Xhaka,Bayer 04 Leverkusen,7.71,2.0,2828,33,SUI
10,Kevin Stöger,VfL Bochum,7.69,8.0,2678,32,AUT
11,Jamal Musiala,Bayern München,7.67,2.0,1766,24,GER
12,Deniz Undav,VfB Stuttgart,7.63,7.0,2096,30,GER
13,Jonas Hofmann,Bayer 04 Leverkusen,7.59,2.0,2214,32,GER
14,Andrej Kramaric,TSG Hoffenheim,7.55,6.0,2206,30,CRO
15,Maximilian Mittelstaedt,VfB Stuttgart,7.55,1.0,2104,31,GER
16,Ikoma Lois Openda,RB Leipzig,7.53,7.0,2716,34,BEL
17,Jan-Niklas Beste,1. FC Heidenheim 1846,7.52,4.0,2618,31,GER
18,Angelo Stiller,VfB Stuttgart,7.51,1.0,2780,32,GER
19,Joshua Kimmich,Bayern München,7.5,2.0,2185,28,GER
20,David Raum,RB Leipzig,7.48,2.0,2743,31,GER
21,Xaver Schlager,RB Leipzig,7.47,2.0,2482,29,AUT
22,Chris Führich,VfB Stuttgart,7.46,1.0,2594,34,GER
22,Alphonso Davies,Bayern München,7.46,1.0,2067,29,CAN
22,Nico Schlotterbeck,Borussia Dortmund,7.46,1.0,2861,33,GER
25,Odilon Kossounou,Bayer 04 Leverkusen,7.44,0.0,1812,22,CIV
26,Jeremie Frimpong,Bayer 04 Leverkusen,7.44,1.0,2263,31,NED
27,Edmond Tapsoba,Bayer 04 Leverkusen,7.43,1.0,2084,28,BFA
28,Amadou Haidara,RB Leipzig,7.41,1.0,1537,21,MLI
29,Anton Stach,TSG Hoffenheim,7.4,1.0,2497,33,GER
30,Dani Olmo,RB Leipzig,7.37,0.0,1454,21,ESP
31,Mitchell Weiser,SV Werder Bremen,7.36,0.0,2639,30,GER
31,Jonathan Tah,Bayer 04 Leverkusen,7.36,0.0,2632,31,GER
33,Robert Andrich,Bayer 04 Leverkusen,7.35,2.0,1681,28,GER
34,Emre Can,Borussia Dortmund,7.34,1.0,1956,25,GER
35,Omar Marmoush,Eintracht Frankfurt,7.34,4.0,2310,29,EGY
36,Leon Goretzka,Bayern München,7.33,3.0,2242,30,GER
37,Kingsley Coman,Bayern München,7.33,2.0,1123,17,FRA
38,Vincenzo Grifo,SC Freiburg,7.32,5.0,2344,32,ITA
39,Marvin Ducksch,SV Werder Bremen,7.31,4.0,2710,33,GER
40,Franck Honorat,Borussia Mönchengladbach,7.31,5.0,2358,32,FRA
41,Atakan Karazor,VfB Stuttgart,7.31,1.0,2630,33,GER
42,Julian Brandt,Borussia Dortmund,7.3,4.0,2230,32,GER
43,Benjamin Henrichs,RB Leipzig,7.3,1.0,2531,33,GER
44,Piero Hincapié,Bayer 04 Leverkusen,7.28,0.0,1484,26,ECU
45,Raphaël Guerreiro,Bayern München,7.28,1.0,1194,20,POR
46,Donyell Malen,Borussia Dortmund,7.28,2.0,1783,27,NED
47,Enzo Millot,VfB Stuttgart,7.26,0.0,2254,31,FRA
48,Waldemar Anton,VfB Stuttgart,7.26,1.0,2888,33,GER
49,Min-Jae Kim,Bayern München,7.25,0.0,1970,25,KOR
50,Thomas Müller,Bayern München,7.23,1.0,1659,31,GER
51,Maximilian Beier,TSG Hoffenheim,7.21,1.0,2431,33,GER
52,Marco Reus,Borussia Dortmund,7.2,3.0,1612,26,GER
53,Florian Grillitsch,TSG Hoffenheim,7.2,1.0,2297,30,AUT
54,Willian Pacho,Eintracht Frankfurt,7.17,3.0,2970,33,ECU
55,Ermedin Demirovic,FC Augsburg,7.17,4.0,2879,33,BIH
56,Ellyes Skhiri,Eintracht Frankfurt,7.17,0.0,2169,27,TUN
57,Noussair Mazraoui,Bayern München,7.16,0.0,1197,19,MAR
57,Dan-Axel Zagadou,VfB Stuttgart,7.16,0.0,1453,19,FRA
59,Mats Hummels,Borussia Dortmund,7.15,2.0,1581,25,GER
60,Willi Orban,RB Leipzig,7.14,0.0,1583,19,HUN
61,Hiroki Ito,VfB Stuttgart,7.13,0.0,2231,26,JPN
62,Amine Adli,Bayer 04 Leverkusen,7.12,0.0,890,23,MAR
63,Robin Gosens,1. FC Union Berlin,7.11,1.0,2297,30,GER
64,Sepp van den Berg,1. FSV Mainz 05,7.1,0.0,2838,33,NED
65,Niclas Füllkrug,Borussia Dortmund,7.1,2.0,2405,31,GER
