Rank,Player,Team,Possessions Won in Final 3rd per 90,Possessions Won Midfield per 90,Minutes,Matches,Country
1,Florian Wirtz,Bayer 04 Leverkusen,1.4,2.7,2377,32,GER
2,Lukas Daschner,VfL Bochum,1.4,2.2,525,20,GER
3,Exequiel Palacios,Bayer 04 Leverkusen,1.3,4.4,1840,24,ARG
4,Moritz Broschinski,VfL Bochum,1.3,1.2,1242,26,GER
5,Václav Cerny,VfL Wolfsburg,1.2,2.4,923,22,CZE
6,Jamal Musiala,Bayern München,1.2,2.3,1766,24,GER
7,Jessic Ngankam,1. FSV Mainz 05,1.2,1.8,450,22,GER
8,Florian Pick,1. FC Heidenheim 1846,1.1,4.3,315,22,GER
9,Chris Führich,VfB Stuttgart,1.1,1.5,2594,34,GER
10,Kingsley Coman,Bayern München,1.1,1.4,1123,17,FRA
11,Jonas Hofmann,Bayer 04 Leverkusen,1.1,1.1,2214,32,GER
12,Aissa Laidouni,1. FC Union Berlin,1.0,3.2,1064,23,TUN
13,Enzo Millot,VfB Stuttgart,1.0,3.1,2254,31,FRA
14,Xavi Simons,RB Leipzig,1.0,2.6,2673,32,NED
15,Karim Adeyemi,Borussia Dortmund,1.0,2.5,911,21,GER
16,Fredrik Jensen,FC Augsburg,1.0,1.8,1350,22,FIN
17,Ruben Vargas,FC Augsburg,1.0,1.7,1978,31,SUI
18,Deniz Undav,VfB Stuttgart,1.0,1.5,2096,30,GER
19,Ermedin Demirovic,FC Augsburg,1.0,1.4,2879,33,BIH
20,Granit Xhaka,Bayer 04 Leverkusen,0.9,4.3,2828,33,SUI
21,Kevin Stöger,VfL Bochum,0.9,4.2,2678,32,AUT
22,Romano Schmid,SV Werder Bremen,0.9,3.3,2614,33,AUT
23,Eric Maxim Choupo-Moting,Bayern München,0.9,2.6,703,27,CMR
23,Gian-Luca Waldschmidt,FC Köln,0.9,2.6,1151,22,GER
25,Eric Ebimbe,Eintracht Frankfurt,0.9,2.2,1967,31,FRA
26,Woo-Yeong Jeong,VfB Stuttgart,0.9,1.7,618,26,KOR
27,Omar Marmoush,Eintracht Frankfurt,0.9,1.6,2310,29,EGY
28,Michael Gregoritsch,SC Freiburg,0.9,1.5,1684,32,AUT
29,Phillip Tietz,FC Augsburg,0.9,1.4,2405,34,GER
29,Steffen Tigges,FC Köln,0.9,1.4,715,25,GER
31,Tiago Tomás,VfL Wolfsburg,0.9,1.2,1029,26,POR
32,Adrian Beck,1. FC Heidenheim 1846,0.8,3.5,971,23,GER
33,Brajan Gruda,1. FSV Mainz 05,0.8,3.2,1651,28,GER
33,Nick Woltemade,SV Werder Bremen,0.8,3.2,1182,30,GER
35,Merlin Röhl,SC Freiburg,0.8,2.9,1483,24,GER
36,Goncalo Paciencia,VfL Bochum,0.8,2.4,645,19,POR
36,Marco Richter,1. FSV Mainz 05,0.8,2.4,713,20,GER
38,Luca Pfeiffer,SV Darmstadt,0.8,2.2,1625,24,GER
39,Julian Brandt,Borussia Dortmund,0.8,2.1,2230,32,GER
40,Leroy Sané,Bayern München,0.8,2.0,2142,27,GER
41,Mikkel Kaufmann,1. FC Union Berlin,0.8,1.9,479,18,DEN
41,Tim Kleindienst,1. FC Heidenheim 1846,0.8,1.9,2874,33,GER
41,Yannick Gerhardt,VfL Wolfsburg,0.8,1.9,1635,25,GER
44,Benedict Hollerbach,1. FC Union Berlin,0.8,1.8,1283,28,GER
45,Sven Michel,FC Augsburg,0.8,1.7,574,22,GER
46,Jeremie Frimpong,Bayer 04 Leverkusen,0.8,1.4,2263,31,NED
47,Thomas Müller,Bayern München,0.8,1.2,1659,31,GER
48,Ikoma Lois Openda,RB Leipzig,0.8,0.9,2716,34,BEL
48,Patrik Schick,Bayer 04 Leverkusen,0.8,0.9,1064,20,CZE
50,Tom Krauss,1. FSV Mainz 05,0.7,5.5,1339,29,GER
51,Anton Stach,TSG Hoffenheim,0.7,4.2,2497,33,GER
52,Atakan Karazor,VfB Stuttgart,0.7,3.6,2630,33,GER
53,Mario Götze,Eintracht Frankfurt,0.7,3.5,2075,30,GER
54,Leon Goretzka,Bayern München,0.7,3.4,2242,30,GER
55,András Schäfer,1. FC Union Berlin,0.7,2.7,1218,20,HUN
56,Cristian Gamboa,VfL Bochum,0.7,2.6,1187,22,CRC
57,Alphonso Davies,Bayern München,0.7,2.5,2067,29,CAN
57,Marius Bülter,TSG Hoffenheim,0.7,2.5,1346,30,GER
59,Dani Olmo,RB Leipzig,0.7,2.3,1454,21,ESP
60,Jae-Sung Lee,1. FSV Mainz 05,0.7,2.2,2124,29,KOR
60,Ridle Baku,VfL Wolfsburg,0.7,2.2,2011,33,GER
62,Christopher Antwi-Adjej,VfL Bochum,0.7,2.1,1216,25,GHA
