Rank,Player,Team,Red Cards,Yellow Cards,Minutes,Matches,Country
1,Maxence Lacroix,VfL Wolfsburg,3.0,3.0,2364,28,FRA
2,Matej Maglica,SV Darmstadt,2.0,7.0,1701,26,CRO
3,Kevin Volland,1. FC Union Berlin,2.0,1.0,1346,26,GER
3,Tuta,Eintracht Frankfurt,2.0,1.0,2605,30,BRA
5,Dominik Kohr,1. FSV Mainz 05,1.0,13.0,2190,31,GER
6,Nicolas Höfler,SC Freiburg,1.0,10.0,2332,28,GER
7,Ozan Kabak,TSG Hoffenheim,1.0,9.0,2290,28,TUR
7,Xavi Simons,RB Leipzig,1.0,9.0,2673,32,NED
9,Grischa Prömel,TSG Hoffenheim,1.0,8.0,2146,28,GER
10,Julian Chabot,FC Köln,1.0,7.0,2707,32,GER
10,Klaus Gjasula,SV Darmstadt,1.0,7.0,1366,22,ALB
10,Robin Gosens,1. FC Union Berlin,1.0,7.0,2297,30,GER
13,John Anthony Brooks,TSG Hoffenheim,1.0,6.0,1539,21,USA
14,Ansgar Knauff,Eintracht Frankfurt,1.0,5.0,2117,31,GER
14,Jens Stage,SV Werder Bremen,1.0,5.0,2334,30,DEN
14,Mads Valentin Pedersen,FC Augsburg,1.0,5.0,1783,27,DEN
14,Moritz Jenz,VfL Wolfsburg,1.0,5.0,1745,22,GER
14,Rani Khedira,1. FC Union Berlin,1.0,5.0,1350,20,GER
19,Anthony Jung,SV Werder Bremen,1.0,4.0,2583,31,GER
19,Fabian Holland,SV Darmstadt,1.0,4.0,1847,23,GER
19,Jan Thielmann,FC Köln,1.0,4.0,1588,22,GER
19,Karim Adeyemi,Borussia Dortmund,1.0,4.0,911,21,GER
19,Kouadio Koné,Borussia Mönchengladbach,1.0,4.0,1565,22,FRA
19,Mats Hummels,Borussia Dortmund,1.0,4.0,1581,25,GER
19,Philipp Mwene,1. FSV Mainz 05,1.0,4.0,2003,23,AUT
26,Felix Uduokhai,FC Augsburg,1.0,3.0,2922,33,GER
26,Manuel Gulde,SC Freiburg,1.0,3.0,2048,27,GER
26,Marcel Sabitzer,Borussia Dortmund,1.0,3.0,1964,25,AUT
26,Mario Götze,Eintracht Frankfurt,1.0,3.0,2075,30,GER
26,Merlin Röhl,SC Freiburg,1.0,3.0,1483,24,GER
26,Niels Nkounkou,Eintracht Frankfurt,1.0,3.0,1301,29,FRA
26,Patrick Wimmer,VfL Wolfsburg,1.0,3.0,594,14,AUT
33,Christopher Trimmel,1. FC Union Berlin,1.0,2.0,1653,26,AUT
33,Felix Passlack,VfL Bochum,1.0,2.0,966,15,GER
33,Jessic Ngankam,1. FSV Mainz 05,1.0,2.0,450,22,GER
33,Kilian Sildillia,SC Freiburg,1.0,2.0,1804,27,FRA
33,Maximilian Wöber,Borussia Mönchengladbach,1.0,2.0,2070,25,AUT
33,Ramy Bensebaini,Borussia Dortmund,1.0,2.0,1030,17,ALG
39,András Schäfer,1. FC Union Berlin,1.0,1.0,1218,20,HUN
39,Arne Engels,FC Augsburg,1.0,1.0,1398,32,BEL
39,Brenden Aaronson,1. FC Union Berlin,1.0,1.0,1263,30,USA
39,Dayot Upamecano,Bayern München,1.0,1.0,1763,25,FRA
39,Joshua Kimmich,Bayern München,1.0,1.0,2185,28,GER
39,Marius Bülter,TSG Hoffenheim,1.0,1.0,1346,30,GER
39,Moritz-Broni Kwarteng,VfL Bochum,1.0,1.0,275,11,GER
39,Pascal Stenzel,VfB Stuttgart,1.0,1.0,1068,23,GER
39,Stanley N'Soki,TSG Hoffenheim,1.0,1.0,632,11,FRA
48,Mathias Olesen,FC Köln,1.0,0.0,107,6,LUX
48,Nikola Dovedan,1. FC Heidenheim 1846,1.0,0.0,646,21,AUT
48,Rasmus Carstensen,FC Köln,1.0,0.0,1658,23,DEN
