Rank,Player,Team,Saves per 90,Total Saves,Minutes,Matches,Country
1,Oliver Baumann,TSG Hoffenheim,4.3,146.0,3060,34,GER
2,Moritz Nicolas,Borussia Mönchengladbach,4.2,114.0,2430,27,GER
3,Marcel Schuhen,SV Darmstadt,4.0,124.0,2790,31,GER
4,Kevin Müller,1. FC Heidenheim 1846,3.6,124.0,3060,34,GER
5,Manuel Riemann,VfL Bochum,3.6,118.0,2970,33,GER
6,Finn Dahmen,FC Augsburg,3.5,110.0,2790,31,GER
7,Michael Zetterer,SV Werder Bremen,3.4,93.0,2430,27,GER
8,Frederik Rønnow,1. FC Union Berlin,3.3,109.0,2970,33,DEN
9,Marvin Schwäbe,FC Köln,3.2,109.0,3060,34,GER
10,Gregor Kobel,Borussia Dortmund,3.2,85.0,2366,27,SUI
11,Koen Casteels,VfL Wolfsburg,3.1,78.0,2250,25,BEL
12,Noah Atubolu,SC Freiburg,3.0,103.0,3060,34,GER
13,Kevin Trapp,Eintracht Frankfurt,2.8,90.0,2880,32,GER
14,Robin Zentner,1. FSV Mainz 05,2.7,82.0,2700,30,GER
15,Manuel Neuer,Bayern München,2.6,60.0,2054,23,GER
16,Alexander Nübel,VfB Stuttgart,2.5,76.0,2700,30,GER
17,Lukas Hradecky,Bayer 04 Leverkusen,2.4,78.0,2970,33,FIN
18,Janis Blaswich,RB Leipzig,2.2,47.0,1890,21,GER
