Rank,Player,Team,Tackles per 90,Tackle Success Rate (%),Minutes,Matches,Country
1,Nicolas Seiwald,RB Leipzig,2.3,54.5,708,21,AUT
2,Tom Krauss,1. FSV Mainz 05,2.2,57.9,1339,29,GER
3,Maximilian Mittelstaedt,VfB Stuttgart,2.2,56.0,2104,31,GER
4,Emre Can,Borussia Dortmund,2.1,71.4,1956,25,GER
5,Niels Nkounkou,Eintracht Frankfurt,2.1,55.6,1301,29,FRA
6,Mads Valentin Pedersen,FC Augsburg,2.0,60.9,1783,27,DEN
7,Max Finkgrafe,FC Köln,2.0,60.0,1756,24,GER
8,Mats Hummels,Borussia Dortmund,1.9,65.4,1581,25,GER
9,Senne Lynen,SV Werder Bremen,1.9,59.4,1791,32,BEL
10,Christian Gross,SV Werder Bremen,1.8,76.2,792,20,GER
11,Nick Woltemade,SV Werder Bremen,1.8,67.6,1182,30,GER
12,Janik Haberer,1. FC Union Berlin,1.8,66.7,1223,21,GER
13,Konrad Laimer,Bayern München,1.8,64.3,1770,29,AUT
14,Ramy Bensebaini,Borussia Dortmund,1.8,61.8,1030,17,ALG
15,Xaver Schlager,RB Leipzig,1.8,61.7,2482,29,AUT
16,Bernardo,VfL Bochum,1.8,58.6,2924,33,BRA
17,Kevin Mbabu,FC Augsburg,1.7,76.5,2048,25,SUI
18,Robin Gosens,1. FC Union Berlin,1.7,69.8,2297,30,GER
19,Dominik Kohr,1. FSV Mainz 05,1.7,64.6,2190,31,GER
20,Jan-Niklas Beste,1. FC Heidenheim 1846,1.7,63.6,2618,31,GER
21,Exequiel Palacios,Bayer 04 Leverkusen,1.7,56.7,1840,24,ARG
22,Nico Schlotterbeck,Borussia Dortmund,1.6,71.4,2861,33,GER
23,Niklas Dorsch,FC Augsburg,1.6,68.6,1387,21,GER
24,Noussair Mazraoui,Bayern München,1.6,65.6,1197,19,MAR
25,Felix Agu,SV Werder Bremen,1.6,64.4,1621,24,GER
26,Amadou Haidara,RB Leipzig,1.6,64.3,1537,21,MLI
27,Christoph Zimmermann,SV Darmstadt,1.6,63.6,1216,19,GER
28,Erhan Masovic,VfL Bochum,1.6,62.5,2218,29,SRB
29,Eric Martel,FC Köln,1.6,61.4,2464,30,GER
30,Eric Maxim Choupo-Moting,Bayern München,1.5,70.6,703,27,CMR
31,Timo Hübers,FC Köln,1.5,69.1,2779,31,GER
32,Mario Götze,Eintracht Frankfurt,1.5,66.7,2075,30,GER
33,Nicolas Höfler,SC Freiburg,1.5,63.5,2332,28,GER
34,Rani Khedira,1. FC Union Berlin,1.5,62.9,1350,20,GER
35,Atakan Karazor,VfB Stuttgart,1.5,61.1,2630,33,GER
36,Rocco Reitz,Borussia Mönchengladbach,1.5,59.0,2141,34,GER
37,Kouadio Koné,Borussia Mönchengladbach,1.5,57.8,1565,22,FRA
