Rank,Player,Team,Assists,Secondary Assists,Minutes,Matches,Country
1,Alejandro Grimaldo,Bayer 04 Leverkusen,13.0,11.1,2785,33,ESP
2,Florian Wirtz,Bayer 04 Leverkusen,11.0,9.7,2377,32,GER
3,Leroy Sané,Bayern München,11.0,9.5,2142,27,GER
4,Xavi Simons,RB Leipzig,11.0,9.0,2673,32,NED
5,Julian Brandt,Borussia Dortmund,11.0,7.5,2230,32,GER
6,Jan-Niklas Beste,1. FC Heidenheim 1846,11.0,6.3,2618,31,GER
7,Kevin Stöger,VfL Bochum,9.0,9.8,2678,32,AUT
8,Franck Honorat,Borussia Mönchengladbach,9.0,9.4,2358,32,FRA
9,Thomas Müller,Bayern München,9.0,7.9,1659,31,GER
10,Marvin Ducksch,SV Werder Bremen,9.0,6.5,2710,33,GER
11,Deniz Undav,VfB Stuttgart,9.0,6.1,2096,30,GER
12,Ermedin Demirovic,FC Augsburg,9.0,3.7,2879,33,BIH
13,David Raum,RB Leipzig,8.0,10.7,2743,31,GER
14,Vincenzo Grifo,SC Freiburg,8.0,7.5,2344,32,ITA
15,Harry Kane,Bayern München,8.0,5.9,2843,32,ENG
16,Niclas Füllkrug,Borussia Dortmund,8.0,3.7,2405,31,GER
17,Victor Okoh Boniface,Bayer 04 Leverkusen,8.0,3.3,1553,23,NGA
18,Chris Führich,VfB Stuttgart,7.0,9.2,2594,34,GER
19,Jonas Hofmann,Bayer 04 Leverkusen,7.0,8.3,2214,32,GER
20,Mitchell Weiser,SV Werder Bremen,7.0,5.8,2639,30,GER
21,Jeremie Frimpong,Bayer 04 Leverkusen,7.0,5.4,2263,31,NED
22,Leon Goretzka,Bayern München,7.0,4.7,2242,30,GER
23,Ikoma Lois Openda,RB Leipzig,7.0,4.6,2716,34,BEL
24,Jonas Wind,VfL Wolfsburg,7.0,3.9,2660,34,DEN
25,Joshua Kimmich,Bayern München,6.0,9.3,2185,28,GER
26,Andrej Kramaric,TSG Hoffenheim,6.0,7.0,2206,30,CRO
27,Romano Schmid,SV Werder Bremen,6.0,6.7,2614,33,AUT
28,Jamal Musiala,Bayern München,6.0,5.8,1766,24,GER
29,Omar Marmoush,Eintracht Frankfurt,6.0,4.4,2310,29,EGY
30,Marco Reus,Borussia Dortmund,6.0,3.7,1612,26,GER
31,Florian Grillitsch,TSG Hoffenheim,6.0,1.9,2297,30,AUT
32,Benjamin Henrichs,RB Leipzig,5.0,6.0,2531,33,GER
33,Angelo Stiller,VfB Stuttgart,5.0,5.5,2780,32,GER
34,Lovro Majer,VfL Wolfsburg,5.0,4.9,2116,32,CRO
35,Exequiel Palacios,Bayer 04 Leverkusen,5.0,4.1,1840,24,ARG
36,Dani Olmo,RB Leipzig,5.0,3.7,1454,21,ESP
37,Alphonso Davies,Bayern München,5.0,3.3,2067,29,CAN
38,Xaver Schlager,RB Leipzig,5.0,3.1,2482,29,AUT
39,Ihlas Bebou,TSG Hoffenheim,5.0,3.0,1628,32,TOG
39,Mathys Tel,Bayern München,5.0,3.0,1031,30,FRA
41,Pascal Stenzel,VfB Stuttgart,5.0,2.4,1068,23,GER
42,Grischa Prömel,TSG Hoffenheim,5.0,2.2,2146,28,GER
43,Maximilian Mittelstaedt,VfB Stuttgart,4.0,6.7,2104,31,GER
44,Fares Chaibi,Eintracht Frankfurt,4.0,6.1,1920,28,ALG
45,Pavel Kaderabek,TSG Hoffenheim,4.0,5.4,2419,29,CZE
46,Enzo Millot,VfB Stuttgart,4.0,5.3,2254,31,FRA
47,Florian Kainz,FC Köln,4.0,4.5,2210,33,AUT
48,Fredrik Jensen,FC Augsburg,4.0,4.3,1350,22,FIN
48,Marius Bülter,TSG Hoffenheim,4.0,4.3,1346,30,GER
48,Nadiem Amiri,1. FSV Mainz 05,4.0,4.3,1401,23,GER
51,Alassane Plea,Borussia Mönchengladbach,4.0,4.1,1925,27,FRA
