Rank,Player,Team,Goals,Penalties,Minutes,Matches,Country
1,Harry Kane,Bayern München,36.0,5.0,2843,32,ENG
2,Serhou Guirassy,VfB Stuttgart,28.0,4.0,2212,28,GUI
3,Ikoma Lois Openda,RB Leipzig,24.0,2.0,2716,34,BEL
4,Deniz Undav,VfB Stuttgart,18.0,0.0,2096,30,GER
5,Maximilian Beier,TSG Hoffenheim,16.0,0.0,2431,33,GER
6,Ermedin Demirovic,FC Augsburg,15.0,3.0,2879,33,BIH
7,Andrej Kramaric,TSG Hoffenheim,15.0,5.0,2206,30,CRO
8,Benjamin Sesko,RB Leipzig,14.0,0.0,1528,31,SVN
9,Victor Okoh Boniface,Bayer 04 Leverkusen,14.0,4.0,1553,23,NGA
10,Donyell Malen,Borussia Dortmund,13.0,0.0,1783,27,NED
11,Omar Marmoush,Eintracht Frankfurt,12.0,2.0,2310,29,EGY
11,Tim Kleindienst,1. FC Heidenheim 1846,12.0,2.0,2874,33,GER
13,Niclas Füllkrug,Borussia Dortmund,12.0,3.0,2405,31,GER
14,Marvin Ducksch,SV Werder Bremen,12.0,5.0,2710,33,GER
15,Jonas Wind,VfL Wolfsburg,11.0,0.0,2660,34,DEN
16,Florian Wirtz,Bayer 04 Leverkusen,11.0,1.0,2377,32,GER
17,Alejandro Grimaldo,Bayer 04 Leverkusen,10.0,0.0,2785,33,ESP
17,Eren Dinkci,1. FC Heidenheim 1846,10.0,0.0,2672,33,TUR
17,Jamal Musiala,Bayern München,10.0,0.0,1766,24,GER
17,Robin Hack,Borussia Mönchengladbach,10.0,0.0,1345,29,GER
21,Jeremie Frimpong,Bayer 04 Leverkusen,9.0,0.0,2263,31,NED
22,Chris Führich,VfB Stuttgart,8.0,0.0,2594,34,GER
22,Jan-Niklas Beste,1. FC Heidenheim 1846,8.0,0.0,2618,31,GER
22,Leroy Sané,Bayern München,8.0,0.0,2142,27,GER
22,Phillip Tietz,FC Augsburg,8.0,0.0,2405,34,GER
22,Tim Skarke,SV Darmstadt,8.0,0.0,2418,30,GER
27,Jonathan Burkardt,1. FSV Mainz 05,8.0,1.0,1541,21,GER
27,Xavi Simons,RB Leipzig,8.0,1.0,2673,32,NED
29,Vincenzo Grifo,SC Freiburg,8.0,6.0,2344,32,ITA
30,Ansgar Knauff,Eintracht Frankfurt,7.0,0.0,2117,31,GER
30,Ihlas Bebou,TSG Hoffenheim,7.0,0.0,1628,32,TOG
