Rank,Player,Team,Chances Created,Chances Created per 90,Minutes,Matches,Country
1,Kevin Stöger,VfL Bochum,127.0,4.3,2678,32,AUT
2,Franck Honorat,Borussia Mönchengladbach,89.0,3.4,2358,32,FRA
3,Julian Brandt,Borussia Dortmund,80.0,3.2,2230,32,GER
4,Jonas Hofmann,Bayer 04 Leverkusen,79.0,3.2,2214,32,GER
5,Xavi Simons,RB Leipzig,79.0,2.7,2673,32,NED
6,Andrej Kramaric,TSG Hoffenheim,78.0,3.2,2206,30,CRO
7,Alejandro Grimaldo,Bayer 04 Leverkusen,78.0,2.5,2785,33,ESP
8,Florian Wirtz,Bayer 04 Leverkusen,74.0,2.8,2377,32,GER
9,Joshua Kimmich,Bayern München,72.0,3.0,2185,28,GER
9,Leroy Sané,Bayern München,72.0,3.0,2142,27,GER
11,Jan-Niklas Beste,1. FC Heidenheim 1846,70.0,2.4,2618,31,GER
12,David Raum,RB Leipzig,68.0,2.2,2743,31,GER
13,Marvin Ducksch,SV Werder Bremen,58.0,1.9,2710,33,GER
14,Vincenzo Grifo,SC Freiburg,56.0,2.2,2344,32,ITA
15,Nadiem Amiri,1. FSV Mainz 05,53.0,3.4,1401,23,GER
16,Florian Kainz,FC Köln,53.0,2.2,2210,33,AUT
16,Serhou Guirassy,VfB Stuttgart,53.0,2.2,2212,28,GUI
18,Chris Führich,VfB Stuttgart,53.0,1.8,2594,34,GER
19,Angelo Stiller,VfB Stuttgart,53.0,1.7,2780,32,GER
20,Thomas Müller,Bayern München,51.0,2.8,1659,31,GER
21,Fares Chaibi,Eintracht Frankfurt,51.0,2.4,1920,28,ALG
22,Romano Schmid,SV Werder Bremen,51.0,1.8,2614,33,AUT
23,Maximilian Arnold,VfL Wolfsburg,48.0,1.7,2503,30,GER
24,Jeremie Frimpong,Bayer 04 Leverkusen,45.0,1.8,2263,31,NED
25,Brajan Gruda,1. FSV Mainz 05,43.0,2.3,1651,28,GER
26,Jamal Musiala,Bayern München,42.0,2.1,1766,24,GER
27,Granit Xhaka,Bayer 04 Leverkusen,41.0,1.3,2828,33,SUI
28,Deniz Undav,VfB Stuttgart,40.0,1.7,2096,30,GER
29,Omar Marmoush,Eintracht Frankfurt,40.0,1.6,2310,29,EGY
30,Benjamin Henrichs,RB Leipzig,40.0,1.4,2531,33,GER
31,Josip Juranovic,1. FC Union Berlin,39.0,2.7,1290,21,CRO
32,Christopher Trimmel,1. FC Union Berlin,39.0,2.1,1653,26,AUT
33,Lovro Majer,VfL Wolfsburg,38.0,1.6,2116,32,CRO
34,Luca Netz,Borussia Mönchengladbach,38.0,1.5,2231,30,GER
35,Jonas Wind,VfL Wolfsburg,38.0,1.3,2660,34,DEN
36,Alphonso Davies,Bayern München,37.0,1.6,2067,29,CAN
37,Pavel Kaderabek,TSG Hoffenheim,37.0,1.4,2419,29,CZE
38,Mitchell Weiser,SV Werder Bremen,37.0,1.3,2639,30,GER
39,Marco Reus,Borussia Dortmund,36.0,2.0,1612,26,GER
40,Alassane Plea,Borussia Mönchengladbach,36.0,1.7,1925,27,FRA
41,Niclas Füllkrug,Borussia Dortmund,36.0,1.3,2405,31,GER
42,Eren Dinkci,1. FC Heidenheim 1846,36.0,1.2,2672,33,TUR
43,Mario Götze,Eintracht Frankfurt,35.0,1.5,2075,30,GER
44,Ikoma Lois Openda,RB Leipzig,35.0,1.2,2716,34,BEL
45,Wout Weghorst,TSG Hoffenheim,34.0,1.5,1987,28,NED
46,Enzo Millot,VfB Stuttgart,33.0,1.3,2254,31,FRA
46,Robin Gosens,1. FC Union Berlin,33.0,1.3,2297,30,GER
48,Ermedin Demirovic,FC Augsburg,33.0,1.0,2879,33,BIH
49,Fredrik Jensen,FC Augsburg,32.0,2.1,1350,22,FIN
50,Dani Olmo,RB Leipzig,32.0,2.0,1454,21,ESP
51,Jae-Sung Lee,1. FSV Mainz 05,32.0,1.4,2124,29,KOR
52,Leon Goretzka,Bayern München,32.0,1.3,2242,30,GER
53,Lucas Höler,SC Freiburg,32.0,1.2,2309,33,GER
54,Ritsu Doan,SC Freiburg,31.0,1.2,2253,30,JPN
54,Tim Skarke,SV Darmstadt,31.0,1.2,2418,30,GER
56,Harry Kane,Bayern München,31.0,1.0,2843,32,ENG
57,Fabian Nürnberger,SV Darmstadt,30.0,1.8,1519,21,GER
58,Maximilian Mittelstaedt,VfB Stuttgart,30.0,1.3,2104,31,GER
58,Ridle Baku,VfL Wolfsburg,30.0,1.3,2011,33,GER
60,Kingsley Coman,Bayern München,29.0,2.3,1123,17,FRA
61,Roland Sallai,SC Freiburg,29.0,1.4,1850,27,HUN
62,Phillip Tietz,FC Augsburg,29.0,1.1,2405,34,GER
63,Atakan Karazor,VfB Stuttgart,29.0,1.0,2630,33,GER
64,Arne Maier,FC Augsburg,28.0,2.5,998,22,GER
65,Tobias Kempe,SV Darmstadt,28.0,1.9,1351,24,GER
66,Exequiel Palacios,Bayer 04 Leverkusen,28.0,1.4,1840,24,ARG
67,Dejan Ljubicic,FC Köln,28.0,1.2,2055,26,AUT
68,Xaver Schlager,RB Leipzig,27.0,1.0,2482,29,AUT
69,Tim Kleindienst,1. FC Heidenheim 1846,27.0,0.8,2874,33,GER
