Rank,Player,Team,Shots per 90,Shot Conversion Rate (%),Minutes,Matches,Country
1,Goncalo Paciencia,VfL Bochum,5.3,7.9,645,19,POR
2,Marco Richter,1. FSV Mainz 05,4.8,2.6,713,20,GER
3,Dawid Kownacki,SV Werder Bremen,4.7,0.0,366,22,POL
4,Harry Kane,Bayern München,4.6,24.7,2843,32,ENG
5,Victor Okoh Boniface,Bayer 04 Leverkusen,4.6,17.5,1553,23,NGA
6,Deniz Undav,VfB Stuttgart,4.6,16.8,2096,30,GER
7,Ikoma Lois Openda,RB Leipzig,4.0,19.8,2716,34,BEL
8,Michael Gregoritsch,SC Freiburg,4.0,9.5,1684,32,AUT
9,Mathys Tel,Bayern München,3.8,16.3,1031,30,FRA
10,Serhou Guirassy,VfB Stuttgart,3.7,30.4,2212,28,GUI
11,Jamie Bynoe-Gittens,Borussia Dortmund,3.7,2.3,1059,25,ENG
12,Donyell Malen,Borussia Dortmund,3.6,18.1,1783,27,NED
13,Adam Hlozek,Bayer 04 Leverkusen,3.6,11.1,451,23,CZE
13,Tomas Cvancara,Borussia Mönchengladbach,3.6,11.1,892,21,CZE
15,Sargis Adamyan,FC Köln,3.5,3.2,797,20,ARM
16,Patrik Schick,Bayer 04 Leverkusen,3.4,17.5,1064,20,CZE
17,Gian-Luca Waldschmidt,FC Köln,3.4,7.0,1151,22,GER
18,Eric Maxim Choupo-Moting,Bayern München,3.3,7.7,703,27,CMR
19,Omar Marmoush,Eintracht Frankfurt,3.1,15.2,2310,29,EGY
20,Leroy Sané,Bayern München,3.1,11.0,2142,27,GER
21,Maximilian Beier,TSG Hoffenheim,3.0,19.5,2431,33,GER
22,Jamal Musiala,Bayern München,3.0,17.2,1766,24,GER
23,Dion Drena Beljo,FC Augsburg,3.0,10.5,562,26,CRO
24,Jessic Ngankam,1. FSV Mainz 05,3.0,0.0,450,22,GER
25,Robin Hack,Borussia Mönchengladbach,2.9,23.3,1345,29,GER
26,Justin Njinmah,SV Werder Bremen,2.9,18.2,1012,24,GER
27,Florian Neuhaus,Borussia Mönchengladbach,2.9,10.3,1226,25,GER
28,Takuma Asano,VfL Bochum,2.9,9.2,2003,29,JPN
29,Benjamin Sesko,RB Leipzig,2.8,29.8,1528,31,SVN
30,Andrej Kramaric,TSG Hoffenheim,2.8,21.7,2206,30,CRO
31,Steffen Tigges,FC Köln,2.8,13.6,715,25,GER
32,Dani Olmo,RB Leipzig,2.8,8.9,1454,21,ESP
33,Mikkel Kaufmann,1. FC Union Berlin,2.8,6.7,479,18,DEN
34,Florian Wirtz,Bayer 04 Leverkusen,2.7,15.5,2377,32,GER
35,Marvin Ducksch,SV Werder Bremen,2.7,15.0,2710,33,GER
36,Amine Adli,Bayer 04 Leverkusen,2.7,14.8,890,23,MAR
37,Alassane Plea,Borussia Mönchengladbach,2.7,12.1,1925,27,FRA
38,Xavi Simons,RB Leipzig,2.7,9.9,2673,32,NED
