Rank,Player,Team,Yellow Cards,Red Cards,Minutes,Matches,Country
1,Dominik Kohr,1. FSV Mainz 05,13.0,1.0,2190,31,GER
2,Nicolas Höfler,SC Freiburg,10.0,1.0,2332,28,GER
3,Anthony Losilla,VfL Bochum,10.0,0.0,2586,31,FRA
3,Julian Weigl,Borussia Mönchengladbach,10.0,0.0,2766,31,GER
3,Robin Koch,Eintracht Frankfurt,10.0,0.0,2740,31,GER
6,Ozan Kabak,TSG Hoffenheim,9.0,1.0,2290,28,TUR
6,Xavi Simons,RB Leipzig,9.0,1.0,2673,32,NED
8,Atakan Karazor,VfB Stuttgart,9.0,0.0,2630,33,GER
8,Benedikt Gimber,1. FC Heidenheim 1846,9.0,0.0,2026,24,GER
8,Bernardo,VfL Bochum,9.0,0.0,2924,33,BRA
8,Christoph Klarer,SV Darmstadt,9.0,0.0,2356,30,AUT
8,Keven Schlotterbeck,VfL Bochum,9.0,0.0,2184,27,GER
8,Ko Itakura,Borussia Mönchengladbach,9.0,0.0,1598,20,JPN
8,Leonardo Bittencourt,SV Werder Bremen,9.0,0.0,1585,29,GER
8,Marvin Ducksch,SV Werder Bremen,9.0,0.0,2710,33,GER
8,Maximilian Arnold,VfL Wolfsburg,9.0,0.0,2503,30,GER
8,Sepp van den Berg,1. FSV Mainz 05,9.0,0.0,2838,33,NED
18,Grischa Prömel,TSG Hoffenheim,8.0,1.0,2146,28,GER
19,Anthony Caci,1. FSV Mainz 05,8.0,0.0,2493,31,FRA
19,Eren Dinkci,1. FC Heidenheim 1846,8.0,0.0,2672,33,TUR
19,Florian Grillitsch,TSG Hoffenheim,8.0,0.0,2297,30,AUT
19,Kevin Stöger,VfL Bochum,8.0,0.0,2678,32,AUT
19,Leandro Barreiro,1. FSV Mainz 05,8.0,0.0,2606,31,LUX
19,Mattias Svanberg,VfL Wolfsburg,8.0,0.0,1725,25,SWE
19,Mohamed Simakan,RB Leipzig,8.0,0.0,2139,32,FRA
26,Matej Maglica,SV Darmstadt,7.0,2.0,1701,26,CRO
27,Julian Chabot,FC Köln,7.0,1.0,2707,32,GER
27,Klaus Gjasula,SV Darmstadt,7.0,1.0,1366,22,ALB
27,Robin Gosens,1. FC Union Berlin,7.0,1.0,2297,30,GER
30,Erhan Masovic,VfL Bochum,7.0,0.0,2218,29,SRB
30,Ermedin Demirovic,FC Augsburg,7.0,0.0,2879,33,BIH
30,Janik Haberer,1. FC Union Berlin,7.0,0.0,1223,21,GER
30,Jeffrey Gouweleeuw,FC Augsburg,7.0,0.0,2594,30,NED
30,Kevin Akpoguma,TSG Hoffenheim,7.0,0.0,1095,17,NGA
30,Kevin Vogt,1. FC Union Berlin,7.0,0.0,2643,32,GER
30,Lucas Höler,SC Freiburg,7.0,0.0,2309,33,GER
30,Lukas Kübler,SC Freiburg,7.0,0.0,1848,26,GER
30,Omar Marmoush,Eintracht Frankfurt,7.0,0.0,2310,29,EGY
