Rank,Team,Possession Won Final 3rd per Match,Total Possessions Won,Matches,Country
1,Bayer Leverkusen,6.6,882.0,34,GER
2,Bayern München,5.7,780.0,34,GER
3,VfB Stuttgart,5.4,823.0,34,GER
4,FC Augsburg,5.4,725.0,34,GER
5,VfL Bochum,5.2,888.0,34,GER
6,Wolfsburg,4.8,707.0,34,GER
7,Mainz 05,4.5,835.0,34,GER
8,RB Leipzig,4.3,816.0,34,GER
9,Borussia Dortmund,4.2,732.0,34,GER
10,Werder Bremen,4.1,802.0,34,GER
11,Eintracht Frankfurt,3.9,797.0,34,GER
12,Union Berlin,3.9,709.0,34,GER
13,TSG Hoffenheim,3.7,737.0,34,GER
14,FC Heidenheim,3.5,798.0,34,GER
15,FC Köln,3.4,774.0,34,GER
16,Borussia Mönchengladbach,3.1,746.0,34,GER
17,SC Freiburg,3.1,710.0,34,GER
18,SV Darmstadt,3.1,675.0,34,GER
