Rank,Team,Saves per Match,Total Saves,Matches,Country
1,TSG Hoffenheim,4.3,146.0,34,GER
2,Borussia Mönchengladbach,4.2,143.0,34,GER
3,SV Darmstadt,3.9,131.0,34,GER
4,FC Augsburg,3.7,127.0,34,GER
5,FC Heidenheim,3.6,124.0,34,GER
6,VfL Bochum,3.5,119.0,34,GER
7,Werder Bremen,3.4,115.0,34,GER
8,Union Berlin,3.3,113.0,34,GER
9,FC Köln,3.2,109.0,34,GER
10,Borussia Dortmund,3.1,104.0,34,GER
11,SC Freiburg,3.0,103.0,34,GER
12,Wolfsburg,2.9,98.0,34,GER
13,Eintracht Frankfurt,2.9,97.0,34,GER
14,Mainz 05,2.8,96.0,34,GER
15,VfB Stuttgart,2.8,95.0,34,GER
16,Bayer Leverkusen,2.4,81.0,34,GER
17,RB Leipzig,2.4,80.0,34,GER
18,Bayern München,2.3,79.0,34,GER
