Rank,Team,Goals per Match,Total Goals Scored,Matches,Country
1,Bayern München,2.8,94.0,34,GER
2,Bayer Leverkusen,2.6,89.0,34,GER
3,VfB Stuttgart,2.3,78.0,34,GER
4,RB Leipzig,2.3,77.0,34,GER
5,Borussia Dortmund,2.0,68.0,34,GER
6,TSG Hoffenheim,1.9,66.0,34,GER
7,Borussia Mönchengladbach,1.6,56.0,34,GER
8,Eintracht Frankfurt,1.5,51.0,34,GER
9,FC Augsburg,1.5,50.0,34,GER
9,FC Heidenheim,1.5,50.0,34,GER
11,Werder Bremen,1.4,48.0,34,GER
12,SC Freiburg,1.3,45.0,34,GER
13,VfL Bochum,1.2,42.0,34,GER
14,Wolfsburg,1.2,41.0,34,GER
15,Mainz 05,1.1,39.0,34,GER
16,Union Berlin,1.0,33.0,34,GER
17,SV Darmstadt,0.9,30.0,34,GER
18,FC Köln,0.8,28.0,34,GER
