Rank,Team,FotMob Team Rating,Matches,Country
1,Bayer Leverkusen,7.46,34,GER
2,Bayern München,7.22,34,GER
3,VfB Stuttgart,7.16,34,GER
4,RB Leipzig,7.08,34,GER
5,Borussia Dortmund,7.04,34,GER
6,TSG Hoffenheim,6.91,34,GER
7,Werder Bremen,6.89,34,GER
8,Eintracht Frankfurt,6.87,34,GER
9,Mainz 05,6.85,34,GER
10,Borussia Mönchengladbach,6.81,34,GER
11,SC Freiburg,6.79,34,GER
11,FC Heidenheim,6.79,34,GER
13,FC Augsburg,6.76,34,GER
14,VfL Bochum,6.75,34,GER
15,Wolfsburg,6.73,34,GER
16,Union Berlin,6.67,34,GER
17,FC Köln,6.63,34,GER
18,SV Darmstadt,6.53,34,GER
