Rank,Team,Red Cards,Yellow Cards,Matches,Country
1,Union Berlin,7.0,61.0,34,GER
2,Wolfsburg,5.0,82.0,34,GER
3,TSG Hoffenheim,5.0,78.0,34,GER
4,Eintracht Frankfurt,5.0,62.0,34,GER
5,SV Darmstadt,4.0,83.0,34,GER
6,FC Köln,4.0,65.0,34,GER
7,SC Freiburg,4.0,62.0,34,GER
8,Borussia Dortmund,4.0,55.0,34,GER
9,Mainz 05,3.0,97.0,34,GER
10,FC Augsburg,3.0,69.0,34,GER
11,VfL Bochum,2.0,97.0,34,GER
12,Werder Bremen,2.0,73.0,34,GER
13,Borussia Mönchengladbach,2.0,64.0,34,GER
14,Bayern München,2.0,45.0,34,GER
15,RB Leipzig,1.0,59.0,34,GER
16,FC Heidenheim,1.0,54.0,34,GER
16,VfB Stuttgart,1.0,54.0,34,GER
