Rank,Team,Yellow Cards,Red Cards,Matches,Country
1,Mainz 05,97.0,3.0,34,GER
2,VfL Bochum,97.0,2.0,34,GER
3,SV Darmstadt,83.0,4.0,34,GER
4,Wolfsburg,82.0,5.0,34,GER
5,TSG Hoffenheim,78.0,5.0,34,GER
6,Werder Bremen,73.0,2.0,34,GER
7,FC Augsburg,69.0,3.0,34,GER
8,FC Köln,65.0,4.0,34,GER
9,Borussia Mönchengladbach,64.0,2.0,34,GER
10,Eintracht Frankfurt,62.0,5.0,34,GER
11,SC Freiburg,62.0,4.0,34,GER
12,Union Berlin,61.0,7.0,34,GER
13,RB Leipzig,59.0,1.0,34,GER
14,Bayer Leverkusen,59.0,0.0,34,GER
15,Borussia Dortmund,55.0,4.0,34,GER
16,FC Heidenheim,54.0,1.0,34,GER
16,VfB Stuttgart,54.0,1.0,34,GER
18,Bayern München,45.0,2.0,34,GER
