Rank,Team,Successful Tackles per Match,Tackle Success (%),Matches,Country
1,FC Köln,11.0,60.8,34,GER
2,VfL Bochum,10.8,60.7,34,GER
3,Eintracht Frankfurt,10.6,59.6,34,GER
4,Borussia Dortmund,10.5,65.0,34,GER
5,Union Berlin,10.4,64.1,34,GER
6,FC Heidenheim,10.4,58.6,34,GER
7,Werder Bremen,10.3,58.1,34,GER
8,Borussia Mönchengladbach,9.9,57.9,34,GER
9,Mainz 05,9.6,57.3,34,GER
10,Bayern München,9.5,62.1,34,GER
11,SV Darmstadt,9.5,57.7,34,GER
12,FC Augsburg,9.4,60.4,34,GER
13,SC Freiburg,9.4,58.4,34,GER
14,RB Leipzig,9.3,58.9,34,GER
15,VfB Stuttgart,9.3,58.8,34,GER
16,TSG Hoffenheim,8.9,58.8,34,GER
17,Wolfsburg,8.9,55.1,34,GER
18,Bayer Leverkusen,8.1,60.5,34,GER
