match_id,match_date,minute,type.name,player.name,x,y,end_x,end_y,dx,dy,is_progressive
3895302,2024-04-14,0,Pass,Lukáš Hrádecký,8.5,33.8,15.1,21.5,6.6,-12.299999999999997,False
3895302,2024-04-14,0,Carry,Edmond Fayçal Tapsoba,15.1,21.5,22.3,19.5,7.200000000000001,-2.0,False
3895302,2024-04-14,0,Pass,Edmond Fayçal Tapsoba,22.3,19.5,38.1,19.5,15.8,0.0,True
3895302,2024-04-14,0,Carry,Edmond Fayçal Tapsoba,29.9,19.5,48.1,28.6,18.200000000000003,9.100000000000001,True
3895302,2024-04-14,0,Pass,Edmond Fayçal Tapsoba,48.1,28.6,48.6,49.7,0.5,21.1,False
3895302,2024-04-14,0,Carry,Jonathan Tah,48.6,49.7,54.5,54.3,5.899999999999999,4.599999999999994,False
3895302,2024-04-14,0,Pass,Jonathan Tah,54.5,54.3,56.4,66.1,1.8999999999999986,11.799999999999997,False
3895302,2024-04-14,0,Carry,Odilon Kossonou,56.4,66.1,56.6,66.6,0.20000000000000284,0.5,False
3895302,2024-04-14,0,Pass,Jonathan Tah,48.6,55.6,51.2,25.2,2.6000000000000014,-30.400000000000002,False
3895302,2024-04-14,0,Carry,Granit Xhaka,51.2,25.2,57.1,20.8,5.899999999999999,-4.399999999999999,False
3895302,2024-04-14,0,Carry,Jonathan Tah,56.4,44.2,61.8,54.3,5.399999999999999,10.099999999999994,False
3895302,2024-04-14,0,Pass,Jonathan Tah,61.8,54.3,82.7,75.1,20.900000000000006,20.799999999999997,True
3895302,2024-04-14,0,Carry,Nathan Tella,82.7,75.1,83.5,76.2,0.7999999999999972,1.1000000000000085,False
3895302,2024-04-14,0,Pass,Nathan Tella,83.5,76.2,84.8,65.8,1.2999999999999972,-10.400000000000006,False
3895302,2024-04-14,0,Carry,Victor Okoh Boniface,84.8,65.8,90.4,73.3,5.6000000000000085,7.5,False
3895302,2024-04-14,0,Pass,Victor Okoh Boniface,90.4,73.3,102.7,63.5,12.299999999999997,-9.799999999999997,True
3895302,2024-04-14,1,Pass,Odilon Kossonou,63.2,67.6,68.9,72.3,5.700000000000003,4.700000000000003,False
3895302,2024-04-14,1,Carry,Nathan Tella,68.9,72.3,71.0,73.3,2.0999999999999943,1.0,False
3895302,2024-04-14,1,Carry,Jonathan Tah,53.0,62.2,54.8,60.8,1.7999999999999972,-1.4000000000000057,False
3895302,2024-04-14,1,Pass,Jonathan Tah,54.8,60.8,61.8,56.4,7.0,-4.399999999999999,False
3895302,2024-04-14,1,Carry,Granit Xhaka,61.8,56.4,63.9,56.1,2.1000000000000014,-0.29999999999999716,False
3895302,2024-04-14,1,Pass,Granit Xhaka,63.9,56.1,73.3,72.8,9.399999999999999,16.699999999999996,False
3895302,2024-04-14,1,Carry,Odilon Kossonou,73.3,72.8,78.2,74.4,4.900000000000006,1.6000000000000085,False
3895302,2024-04-14,1,Pass,Odilon Kossonou,78.2,74.4,107.2,55.4,29.0,-19.000000000000007,True
3895302,2024-04-14,1,Carry,Amine Adli,107.2,55.4,109.7,53.8,2.5,-1.6000000000000014,False
3895302,2024-04-14,2,Carry,Odilon Kossonou,57.1,75.4,58.2,75.4,1.1000000000000014,0.0,False
3895302,2024-04-14,2,Pass,Odilon Kossonou,58.2,75.4,58.7,66.6,0.5,-8.800000000000011,False
3895302,2024-04-14,2,Carry,Granit Xhaka,58.7,66.6,61.6,66.1,2.8999999999999986,-0.5,False
3895302,2024-04-14,2,Pass,Granit Xhaka,61.6,66.1,68.9,64.8,7.300000000000004,-1.2999999999999972,False
3895302,2024-04-14,2,Carry,Jonas Hofmann,68.9,64.8,69.7,61.1,0.7999999999999972,-3.6999999999999957,False
3895302,2024-04-14,2,Carry,Edmond Fayçal Tapsoba,63.9,34.3,82.9,16.8,19.000000000000007,-17.499999999999996,True
3895302,2024-04-14,2,Pass,Edmond Fayçal Tapsoba,82.9,16.8,91.2,3.6,8.299999999999997,-13.200000000000001,False
3895302,2024-04-14,2,Carry,Piero Martín Hincapié Reyna,91.2,3.6,93.0,4.9,1.7999999999999972,1.3000000000000003,False
3895302,2024-04-14,2,Pass,Granit Xhaka,76.1,19.2,83.2,16.1,7.1000000000000085,-3.099999999999998,False
3895302,2024-04-14,2,Carry,Robert Andrich,83.2,16.1,84.5,16.1,1.2999999999999972,0.0,False
3895302,2024-04-14,2,Pass,Edmond Fayçal Tapsoba,54.5,11.2,58.4,4.9,3.8999999999999986,-6.299999999999999,False
3895302,2024-04-14,2,Pass,Edmond Fayçal Tapsoba,52.8,22.6,56.1,55.6,3.3000000000000043,33.0,False
3895302,2024-04-14,2,Carry,Odilon Kossonou,56.1,55.6,63.4,57.4,7.299999999999997,1.7999999999999972,False
3895302,2024-04-14,2,Pass,Odilon Kossonou,63.4,57.4,77.2,71.7,13.800000000000004,14.300000000000004,True
3895302,2024-04-14,3,Carry,Amine Adli,56.6,52.7,57.1,52.6,0.5,-0.10000000000000142,False
3895302,2024-04-14,3,Carry,Robert Andrich,52.5,37.4,62.1,20.0,9.600000000000001,-17.4,False
3895302,2024-04-14,3,Pass,Robert Andrich,62.1,20.0,64.5,34.3,2.3999999999999986,14.299999999999997,False
3895302,2024-04-14,3,Pass,Edmond Fayçal Tapsoba,54.8,33.6,62.6,51.0,7.800000000000004,17.4,False
3895302,2024-04-14,3,Carry,Jonathan Tah,62.6,51.0,63.2,53.8,0.6000000000000014,2.799999999999997,False
3895302,2024-04-14,3,Pass,Jonathan Tah,63.2,53.8,70.7,68.4,7.5,14.600000000000009,False
3895302,2024-04-14,3,Pass,Odilon Kossonou,70.7,68.4,72.5,49.4,1.7999999999999972,-19.000000000000007,False
3895302,2024-04-14,3,Pass,Granit Xhaka,72.2,45.8,78.5,21.5,6.299999999999997,-24.299999999999997,False
3895302,2024-04-14,3,Carry,Amine Adli,78.5,21.5,87.6,19.2,9.099999999999994,-2.3000000000000007,False
3895302,2024-04-14,3,Pass,Amine Adli,87.6,19.2,98.3,5.4,10.700000000000003,-13.799999999999999,True
3895302,2024-04-14,3,Pass,Robert Andrich,78.0,13.0,84.8,19.2,6.799999999999997,6.199999999999999,False
3895302,2024-04-14,3,Pass,Granit Xhaka,84.8,19.2,91.0,5.2,6.200000000000003,-14.0,False
