player.name,progressive_carries,progressive_passes,total_progressive
Granit Xhaka,179,886,1065
Edmond Fayçal Tapsoba,216,762,978
Jonathan Tah,133,650,783
Lukáš Hrádecký,24,609,633
Florian Wirtz,204,365,569
Odilon Kossonou,132,435,567
Piero Martín Hincapié Reyna,118,403,521
Alejandro Grimaldo García,134,378,512
Exequiel Alejandro Palacios,59,432,491
Robert Andrich,59,379,438
Josip Stanišić,112,267,379
Jeremie Frimpong,216,119,335
Jonas Hofmann,88,244,332
Victor Okoh Boniface,70,70,140
Amine Adli,52,69,121
Nathan Tella,50,53,103
Adam Hložek,18,26,44
Arthur Augusto de Matos Soares,14,22,36
Patrik Schick,18,17,35
Nadiem Amiri,9,11,20
Gustavo Adolfo Puerta Molano,1,11,12
Borja Iglesias Quintas,3,8,11
Matěj Kovář,1,10,11
Noah Mbamba,1,5,6
