player.name,pressures
Florian Wirtz,651
Jonas Hofmann,544
Jeremie Frimpong,347
Exequiel Alejandro Palacios,342
Alejandro Grimaldo García,321
Granit Xhaka,309
Amine Adli,271
Robert Andrich,252
Jonathan Tah,216
Piero Martín Hincapié Reyna,210
Victor Okoh Boniface,203
Edmond Fayçal Tapsoba,201
Odilon Kossonou,195
Josip Stanišić,180
Patrik Schick,179
Nathan Tella,156
Adam Hložek,98
Borja Iglesias Quintas,48
Nadiem Amiri,23
Gustavo Adolfo Puerta Molano,21
Arthur Augusto de Matos Soares,12
Noah Mbamba,6
Lukáš Hrádecký,1
