player.name,recoveries
Granit Xhaka,191
Florian Wirtz,161
Alejandro Grimaldo García,158
Edmond Fayçal Tapsoba,136
Exequiel Alejandro Palacios,136
Lukáš Hrádecký,116
Jonathan Tah,115
Jeremie Frimpong,111
Odilon Kossonou,110
Jonas Hofmann,92
Robert Andrich,89
Josip Stanišić,80
Piero Martín Hincapié Reyna,55
Victor Okoh Boniface,53
Nathan Tella,44
Amine Adli,38
Adam Hložek,20
Patrik Schick,20
Arthur Augusto de Matos Soares,8
Borja Iglesias Quintas,7
Nadiem Amiri,4
Noah Mbamba,3
Matěj Kovář,2
Gustavo Adolfo Puerta Molano,2
