match_id,home_team,away_team,score_80,score_final,result_80,result_final,points_at_80,points_final,points_won_after_80
3895302,Bayer Leverkusen,Werder Bremen,3-0,5-0,W,W,3,3,0
3895292,Union Berlin,Bayer Leverkusen,1-0,1-0,W,W,3,3,0
3895333,Eintracht Frankfurt,Bayer Leverkusen,4-1,5-1,W,W,3,3,0
3895340,Bochum,Bayer Leverkusen,3-0,5-0,W,W,3,3,0
3895348,Bayer Leverkusen,Augsburg,2-1,2-1,W,W,3,3,0
3895286,Bayer Leverkusen,Hoffenheim,0-1,2-1,L,W,0,3,3
3895220,Darmstadt 98,Bayer Leverkusen,2-0,2-0,W,W,3,3,0
3895250,Bayer Leverkusen,FSV Mainz 05,2-1,2-1,W,W,3,3,0
3895266,Bayer Leverkusen,Wolfsburg,1-0,2-0,W,W,3,3,0
3895275,Freiburg,Bayer Leverkusen,3-2,3-2,W,W,3,3,0
3895180,Bayer Leverkusen,Eintracht Frankfurt,3-0,3-0,W,W,3,3,0
3895134,Hoffenheim,Bayer Leverkusen,3-2,3-2,W,W,3,3,0
3895121,Bayer Leverkusen,Freiburg,1-1,2-1,D,W,1,3,2
3895107,Bayer Leverkusen,FC Köln,3-0,3-0,W,W,3,3,0
3895074,Bayern Munich,Bayer Leverkusen,1-1,2-2,D,D,1,1,0
3895139,Bayer Leverkusen,Union Berlin,3-0,4-0,W,W,3,3,0
3895086,Bayer Leverkusen,FC Heidenheim,3-1,4-1,W,W,3,3,0
3895320,Bayer Leverkusen,VfB Stuttgart,1-2,2-2,L,D,0,1,1
3895309,Borussia Dortmund,Bayer Leverkusen,0-1,1-1,L,D,0,1,1
3895258,FC Köln,Bayer Leverkusen,2-0,2-0,W,W,3,3,0
3895244,FC Heidenheim,Bayer Leverkusen,2-0,2-1,W,W,3,3,0
3895232,Bayer Leverkusen,Bayern Munich,2-0,3-0,W,W,3,3,0
3895210,Bayer Leverkusen,Borussia Mönchengladbach,0-0,0-0,D,D,1,1,0
3895202,RB Leipzig,Bayer Leverkusen,2-2,3-2,D,W,1,3,2
3895194,Augsburg,Bayer Leverkusen,0-0,1-0,D,W,1,3,2
3895182,Bayer Leverkusen,Bochum,4-0,4-0,W,W,3,3,0
3895167,VfB Stuttgart,Bayer Leverkusen,1-1,1-1,D,D,1,1,0
3895158,Bayer Leverkusen,Borussia Dortmund,1-1,1-1,D,D,1,1,0
3895153,Werder Bremen,Bayer Leverkusen,2-0,3-0,W,W,3,3,0
3895113,Wolfsburg,Bayer Leverkusen,2-1,2-1,W,W,3,3,0
3895095,FSV Mainz 05,Bayer Leverkusen,2-0,3-0,W,W,3,3,0
3895067,Bayer Leverkusen,Darmstadt 98,4-1,5-1,W,W,3,3,0
3895060,Borussia Mönchengladbach,Bayer Leverkusen,3-0,3-0,W,W,3,3,0
3895052,Bayer Leverkusen,RB Leipzig,3-2,3-2,W,W,3,3,0
